 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Local ocorrência;;;;;;;
Período:2000-2022;;;;;;;
Município;Hospital;Outro Estabelecimento de Saúde;Domicílio;Aldeia indígena;Outro;Ignorado;Total
270010 AGUA BRANCA;8117;274;24;-;3;-;8418
270020 ANADIA;6081;69;176;-;34;-;6360
270030 ARAPIRACA;91131;767;126;-;5;-;92029
270040 ATALAIA;17851;15;209;-;2;-;18077
270050 BARRA DE SANTO ANTONIO;6027;293;99;-;18;2;6439
270060 BARRA DE SAO MIGUEL;3272;6;19;-;2;62;3361
270070 BATALHA;7300;10;1;-;-;-;7311
270080 BELEM;1846;7;41;-;18;-;1912
270090 BELO MONTE;2430;16;13;-;1;-;2460
270100 BOCA DA MATA;10323;9;55;-;4;-;10391
270110 BRANQUINHA;4788;2;104;-;-;-;4894
270120 CACIMBINHAS;3360;1006;22;-;-;-;4388
270130 CAJUEIRO;8959;8;18;-;10;-;8995
270135 CAMPESTRE;1923;751;15;-;5;-;2694
270140 CAMPO ALEGRE;14432;157;166;-;139;-;14894
270150 CAMPO GRANDE;4034;51;108;-;1;-;4194
270160 CANAPI;5403;1832;251;-;66;1;7553
270170 CAPELA;6773;15;140;-;8;-;6936
270180 CARNEIROS;3854;18;130;-;3;-;4005
270190 CHA PRETA;2840;3;77;-;16;-;2936
270200 COITE DO NOIA;4074;6;76;-;-;-;4156
270210 COLONIA LEOPOLDINA;7746;11;292;-;8;-;8057
270220 COQUEIRO SECO;2099;3;37;-;6;-;2145
270230 CORURIPE;21933;124;24;-;5;1;22087
270235 CRAIBAS;10203;21;71;-;-;-;10295
270240 DELMIRO GOUVEIA;19244;1485;102;-;6;-;20837
270250 DOIS RIACHOS;4372;77;18;-;-;-;4467
270255 ESTRELA DE ALAGOAS;5609;6;88;-;1;-;5704
270260 FEIRA GRANDE;8444;23;184;-;-;-;8651
270270 FELIZ DESERTO;1705;2;12;-;1;-;1720
270280 FLEXEIRAS;5151;14;50;-;10;-;5225
270290 GIRAU DO PONCIANO;14034;74;27;-;8;-;14143
270300 IBATEGUARA;6205;17;238;-;6;-;6466
270310 IGACI;8831;67;68;-;-;-;8966
270320 IGREJA NOVA;9185;121;81;-;2;-;9389
270330 INHAPI;4844;3061;102;-;16;-;8023
270340 JACARE DOS HOMENS;2664;8;61;-;1;1;2735
270350 JACUIPE;2047;83;149;-;5;2;2286
270360 JAPARATINGA;3396;85;57;-;8;1;3547
270370 JARAMATAIA;2478;9;11;-;-;-;2498
270375 JEQUIA DA PRAIA;3736;1;88;-;14;1;3840
270380 JOAQUIM GOMES;10234;29;227;-;4;-;10494
270390 JUNDIA;1393;64;55;-;8;-;1520
270400 JUNQUEIRO;8966;227;61;-;8;-;9262
270410 LAGOA DA CANOA;7666;167;37;-;2;-;7872
270420 LIMOEIRO DE ANADIA;8630;112;72;-;3;-;8817
270430 MACEIO;351941;527;284;-;88;4;352844
270440 MAJOR ISIDORO;7005;46;59;-;5;-;7115
270450 MARAGOGI;12207;495;98;-;17;1;12818
270460 MARAVILHA;3712;58;183;-;56;14;4023
270470 MARECHAL DEODORO;19527;153;30;-;17;-;19727
270480 MARIBONDO;4836;36;65;-;-;-;4937
270490 MAR VERMELHO;1035;1;1;-;1;-;1038
270500 MATA GRANDE;8927;184;141;-;5;-;9257
270510 MATRIZ DE CAMARAGIBE;10507;30;32;-;9;-;10578
270520 MESSIAS;6192;623;63;-;14;-;6892
270530 MINADOR DO NEGRAO;1676;521;7;-;-;-;2204
270540 MONTEIROPOLIS;3205;12;37;-;-;-;3254
270550 MURICI;12256;30;244;-;12;-;12542
270560 NOVO LINO;4226;194;13;-;4;-;4437
270570 OLHO D'AGUA DAS FLORES;8909;71;13;-;1;-;8994
270580 OLHO D'AGUA DO CASADO;2565;932;16;-;11;-;3524
270590 OLHO D'AGUA GRANDE;1983;13;96;-;6;-;2098
270600 OLIVENCA;4336;7;122;-;1;-;4466
270610 OURO BRANCO;3885;692;44;-;2;-;4623
270620 PALESTINA;2253;6;16;-;-;-;2275
270630 PALMEIRA DOS INDIOS;31235;23;45;-;-;-;31303
270640 PAO DE ACUCAR;10513;12;69;-;1;-;10595
270642 PARICONHA;3941;171;129;-;2;-;4243
270644 PARIPUEIRA;4824;9;19;-;12;-;4864
270650 PASSO DE CAMARAGIBE;5818;10;122;-;13;1;5964
270660 PAULO JACINTO;2545;4;13;-;4;-;2566
270670 PENEDO;25630;44;89;-;2;1;25766
270680 PIACABUCU;7236;370;19;-;8;-;7633
270690 PILAR;13966;18;32;-;15;1;14032
270700 PINDOBA;949;3;49;-;1;-;1002
270710 PIRANHAS;10881;198;199;-;22;-;11300
270720 POCO DAS TRINCHEIRAS;5392;12;258;-;3;4;5669
270730 PORTO CALVO;11494;14;172;-;13;-;11693
270740 PORTO DE PEDRAS;2866;13;82;-;10;1;2972
270750 PORTO REAL DO COLEGIO;7506;44;62;-;11;1;7624
270760 QUEBRANGULO;4463;4;19;-;-;-;4486
270770 RIO LARGO;27071;41;50;-;10;1;27173
270780 ROTEIRO;3609;1;91;-;10;-;3711
270790 SANTA LUZIA DO NORTE;2830;2;40;-;4;-;2876
270800 SANTANA DO IPANEMA;20530;154;311;-;2;-;20997
270810 SANTANA DO MUNDAU;4138;4;128;-;4;4;4278
270820 SAO BRAS;2579;1;19;-;6;1;2606
270830 SAO JOSE DA LAJE;9942;10;157;-;7;-;10116
270840 SAO JOSE DA TAPERA;14004;52;550;-;8;-;14614
270850 SAO LUIS DO QUITUNDE;14563;16;328;-;12;1;14920
270860 SAO MIGUEL DOS CAMPOS;23699;23;637;-;16;4;24379
270870 SAO MIGUEL DOS MILAGRES;2462;1;74;-;2;-;2539
270880 SAO SEBASTIAO;14140;48;302;-;7;-;14497
270890 SATUBA;4921;3;13;-;1;-;4938
270895 SENADOR RUI PALMEIRA;4805;27;724;-;8;1;5565
270900 TANQUE D'ARCA;1892;9;80;-;2;-;1983
270910 TAQUARANA;7377;103;67;-;4;-;7551
270915 TEOTONIO VILELA;17796;344;42;-;6;-;18188
270920 TRAIPU;9123;45;244;-;8;-;9420
270930 UNIAO DOS PALMARES;28192;31;373;-;5;-;28601
270940 VICOSA;10910;9;22;-;7;-;10948
 MUNICIPIO IGNORADO - SE;21;-;-;-;-;-;21
280010 AMPARO DE SAO FRANCISCO;832;-;5;-;5;-;842
280020 AQUIDABA;6707;-;73;-;37;-;6817
280030 ARACAJU;211368;103;825;-;299;2;212597
280040 ARAUA;3799;344;47;-;11;-;4201
280050 AREIA BRANCA;6629;6;82;-;12;-;6729
280060 BARRA DOS COQUEIROS;10590;3;76;-;31;-;10700
280067 BOQUIM;9066;89;50;-;17;1;9223
280070 BREJO GRANDE;2859;175;124;-;40;-;3198
280100 CAMPO DO BRITO;6115;55;25;-;7;-;6202
280110 CANHOBA;1532;13;218;-;12;-;1775
280120 CANINDE DE SAO FRANCISCO;12978;50;45;-;59;1;13133
280130 CAPELA;12643;15;112;-;63;1;12834
280140 CARIRA;7656;13;33;-;26;-;7728
280150 CARMOPOLIS;5936;2;21;-;44;-;6003
280160 CEDRO DE SAO JOAO;1844;1;5;-;5;-;1855
280170 CRISTINAPOLIS;6799;558;117;-;22;1;7497
280190 CUMBE;1230;-;5;-;8;-;1243
280200 DIVINA PASTORA;1692;18;4;-;15;-;1729
280210 ESTANCIA;25707;41;150;-;29;1;25928
280220 FEIRA NOVA;2226;1;17;-;4;-;2248
280230 FREI PAULO;5371;8;32;-;5;1;5417
280240 GARARU;3536;22;104;-;22;2;3686
280250 GENERAL MAYNARD;890;4;4;-;3;-;901
280260 GRACHO CARDOSO;1891;12;18;-;7;-;1928
280270 ILHA DAS FLORES;2995;404;71;-;22;3;3495
280280 INDIAROBA;6851;31;233;-;32;-;7147
280290 ITABAIANA;34057;16;95;-;13;-;34181
280300 ITABAIANINHA;15339;172;59;-;46;-;15616
280310 ITABI;1334;87;13;-;14;-;1448
280320 ITAPORANGA D'AJUDA;10757;2027;50;-;129;2;12965
280330 JAPARATUBA;6020;9;40;-;58;-;6127
280340 JAPOATA;5115;13;109;-;36;1;5274
280350 LAGARTO;25301;10327;228;-;73;-;35929
280360 LARANJEIRAS;10899;6;52;-;74;-;11031
280370 MACAMBIRA;2361;-;17;-;3;-;2381
280380 MALHADA DOS BOIS;1552;2;9;-;6;-;1569
280390 MALHADOR;4262;-;35;-;3;-;4300
280400 MARUIM;6791;9;55;-;45;2;6902
280410 MOITA BONITA;3365;-;34;-;2;-;3401
280420 MONTE ALEGRE DE SERGIPE;5770;11;31;-;24;-;5836
280430 MURIBECA;2671;4;25;-;18;1;2719
280440 NEOPOLIS;6422;7;101;-;38;-;6568
280445 NOSSA SENHORA APARECIDA;2691;12;39;-;6;-;2748
280450 NOSSA SENHORA DA GLORIA;13409;2;44;-;17;1;13473
280460 NOSSA SENHORA DAS DORES;9029;18;118;-;84;3;9252
280470 NOSSA SENHORA DE LOURDES;2011;10;67;-;10;-;2098
280480 NOSSA SENHORA DO SOCORRO;67737;18;242;-;99;-;68096
280490 PACATUBA;4704;479;125;-;78;-;5386
280500 PEDRA MOLE;866;70;10;-;2;-;948
280510 PEDRINHAS;2888;282;16;-;4;-;3190
280520 PINHAO;2133;117;5;-;5;-;2260
280530 PIRAMBU;3481;18;33;-;26;-;3558
280540 POCO REDONDO;12099;29;199;-;64;1;12392
280550 POCO VERDE;6978;302;84;-;46;-;7410
280560 PORTO DA FOLHA;10190;11;67;-;51;1;10320
280570 PROPRIA;10727;11;172;-;51;-;10961
280580 RIACHAO DO DANTAS;5166;2114;165;-;31;-;7476
280590 RIACHUELO;4002;2;20;-;24;-;4048
280600 RIBEIROPOLIS;4967;64;19;-;10;-;5060
280610 ROSARIO DO CATETE;3788;19;17;-;42;-;3866
280620 SALGADO;5192;1386;64;-;43;3;6688
280630 SANTA LUZIA DO ITANHY;5682;4;151;-;11;-;5848
280640 SANTANA DO SAO FRANCISCO;2543;1;9;-;11;-;2564
280650 SANTA ROSA DE LIMA;1532;50;21;-;4;-;1607
280660 SANTO AMARO DAS BROTAS;4225;7;57;-;25;-;4314
280670 SAO CRISTOVAO;30661;120;233;-;116;-;31130
280680 SAO DOMINGOS;3463;5;27;-;5;-;3500
280690 SAO FRANCISCO;1093;-;15;-;4;-;1112
280700 SAO MIGUEL DO ALEIXO;1160;120;11;-;6;-;1297
280710 SIMAO DIAS;13792;908;122;-;41;-;14863
280720 SIRIRI;2886;-;61;-;22;1;2970
280730 TELHA;1095;2;7;-;3;-;1107
280740 TOBIAS BARRETO;16379;971;301;-;153;-;17804
280750 TOMAR DO GERU;4615;263;83;-;20;-;4981
280760 UMBAUBA;9192;482;106;-;12;-;9792
 MUNICIPIO IGNORADO - BA;1148;6;5;-;3;5;1167
290010 ABAIRA;1059;321;7;-;2;-;1389
290020 ABARE;6722;27;174;-;34;-;6957
290030 ACAJUTIBA;4790;516;39;-;17;-;5362
290035 ADUSTINA;2996;1504;12;-;14;-;4526
290040 AGUA FRIA;4108;21;33;-;10;-;4172
290050 ERICO CARDOSO;2667;42;65;-;9;5;2788
290060 AIQUARA;1394;29;21;-;10;-;1454
290070 ALAGOINHAS;47207;2865;296;-;67;1;50436
290080 ALCOBACA;7493;10;145;-;12;-;7660
290090 ALMADINA;1794;25;25;-;10;1;1855
290100 AMARGOSA;11174;431;84;-;21;-;11710
290110 AMELIA RODRIGUES;6596;223;127;-;8;-;6954
290115 AMERICA DOURADA;5587;89;38;-;4;-;5718
290120 ANAGE;6187;10;519;-;12;-;6728
290130 ANDARAI;4546;129;130;-;13;14;4832
290135 ANDORINHA;3993;376;59;-;26;-;4454
290140 ANGICAL;2736;1644;108;-;19;1;4508
290150 ANGUERA;2101;21;109;-;41;1;2273
290160 ANTAS;3784;33;10;-;1;-;3828
290170 ANTONIO CARDOSO;3387;108;177;-;10;11;3693
290180 ANTONIO GONCALVES;2454;536;12;-;5;1;3008
290190 APORA;4875;115;127;-;26;3;5146
290195 APUAREMA;2185;25;106;-;31;-;2347
290200 ARACATU;3033;1157;142;-;7;-;4339
290205 ARACAS;4155;52;77;-;16;-;4300
290210 ARACI;17518;270;950;-;35;-;18773
290220 ARAMARI;2769;179;48;-;5;-;3001
290225 ARATACA;3192;6;126;-;19;3;3346
290230 ARATUIPE;2528;161;28;-;5;-;2722
290240 AURELINO LEAL;5066;21;10;-;5;-;5102
290250 BAIANOPOLIS;3655;902;40;-;11;-;4608
290260 BAIXA GRANDE;6297;25;44;-;11;1;6378
290265 BANZAE;3907;122;157;-;18;-;4204
290270 BARRA;19689;84;131;-;39;1;19944
290280 BARRA DA ESTIVA;8758;265;75;-;17;-;9115
290290 BARRA DO CHOCA;12995;13;475;-;34;-;13517
290300 BARRA DO MENDES;4711;95;66;-;12;-;4884
290310 BARRA DO ROCHA;1945;4;38;-;-;1;1988
290320 BARREIRAS;38428;21850;104;-;41;2;60425
290323 BARRO ALTO;2545;1801;33;-;1;-;4380
290327 BARROCAS;4056;281;17;-;3;1;4358
290330 BARRO PRETO;1983;1;18;-;3;1;2006
290340 BELMONTE;7484;185;177;-;149;1;7996
290350 BELO CAMPO;5765;8;52;-;12;-;5837
290360 BIRITINGA;4144;921;138;-;8;-;5211
290370 BOA NOVA;4042;193;400;-;25;3;4663
290380 BOA VISTA DO TUPIM;3948;2517;128;-;16;-;6609
290390 BOM JESUS DA LAPA;14421;10836;21;-;7;-;25285
290395 BOM JESUS DA SERRA;3016;2;322;-;11;-;3351
290400 BONINAL;4374;16;11;-;2;-;4403
290405 BONITO;2660;3204;112;-;18;-;5994
290410 BOQUIRA;6535;57;200;-;6;1;6799
290420 BOTUPORA;3579;20;1;-;2;-;3602
290430 BREJOES;4839;26;97;-;21;-;4983
290440 BREJOLANDIA;1346;813;38;-;33;-;2230
290450 BROTAS DE MACAUBAS;1925;1242;57;-;5;1;3230
290460 BRUMADO;16130;5395;72;-;10;2;21609
290470 BUERAREMA;6837;2;77;-;12;-;6928
290475 BURITIRAMA;4750;2435;27;-;11;1;7224
290480 CAATIBA;2238;3;55;-;2;-;2298
290485 CABACEIRAS DO PARAGUACU;5513;53;217;-;31;1;5815
290490 CACHOEIRA;9646;39;87;-;35;3;9810
290500 CACULE;6653;59;7;-;5;1;6725
290510 CAEM;4071;7;225;-;13;-;4316
290515 CAETANOS;2766;101;315;-;16;-;3198
290520 CAETITE;16296;23;57;-;9;2;16387
290530 CAFARNAUM;7184;49;33;-;10;-;7276
290540 CAIRU;5402;111;109;-;20;-;5642
290550 CALDEIRAO GRANDE;4337;4;95;-;8;-;4444
290560 CAMACAN;11687;8;96;-;17;-;11808
290570 CAMACARI;89216;1219;499;-;233;7;91174
290580 CAMAMU;10079;2332;999;-;49;5;13464
290590 CAMPO ALEGRE DE LOURDES;11893;5;124;-;11;-;12033
290600 CAMPO FORMOSO;27113;23;699;-;36;5;27876
290610 CANAPOLIS;3093;77;10;-;1;5;3186
290620 CANARANA;9423;165;71;-;15;-;9674
290630 CANAVIEIRAS;11568;633;96;-;37;-;12334
290640 CANDEAL;2368;18;83;-;4;-;2473
290650 CANDEIAS;25300;434;45;-;32;3;25814
290660 CANDIBA;3853;6;1;-;1;-;3861
290670 CANDIDO SALES;9091;258;114;-;13;-;9476
290680 CANSANCAO;7846;3325;138;-;17;-;11326
290682 CANUDOS;5029;223;44;-;15;-;5311
290685 CAPELA DO ALTO ALEGRE;2839;23;12;-;2;-;2876
290687 CAPIM GROSSO;11030;163;104;-;1;-;11298
290689 CARAIBAS;2465;77;155;-;8;-;2705
290690 CARAVELAS;6517;3;68;-;11;-;6599
290700 CARDEAL DA SILVA;2878;102;142;-;29;1;3152
290710 CARINHANHA;10291;79;60;-;13;-;10443
290720 CASA NOVA;25671;25;528;-;58;-;26282
290730 CASTRO ALVES;8439;41;21;-;4;-;8505
290740 CATOLANDIA;661;291;5;-;73;57;1087
290750 CATU;15212;301;79;-;14;2;15608
290755 CATURAMA;2309;98;5;-;2;-;2414
290760 CENTRAL;5955;147;51;-;8;-;6161
290770 CHORROCHO;2851;591;73;-;624;2;4141
290780 CICERO DANTAS;8823;588;111;-;6;1;9529
290790 CIPO;6358;22;64;-;5;-;6449
290800 COARACI;7457;3;169;-;19;-;7648
290810 COCOS;5986;43;3;-;6;-;6038
290820 CONCEICAO DA FEIRA;5871;20;34;-;36;2;5963
290830 CONCEICAO DO ALMEIDA;4402;36;12;-;6;-;4456
290840 CONCEICAO DO COITE;20738;3485;124;-;11;-;24358
290850 CONCEICAO DO JACUIPE;8337;1002;18;-;4;-;9361
290860 CONDE;8473;8;183;-;64;1;8729
290870 CONDEUBA;5134;15;85;-;18;-;5252
290880 CONTENDAS DO SINCORA;911;177;48;-;3;-;1139
290890 CORACAO DE MARIA;6686;440;35;-;6;3;7170
290900 CORDEIROS;1856;169;89;-;6;-;2120
290910 CORIBE;4255;45;68;-;4;1;4373
290920 CORONEL JOAO SA;4468;969;135;-;11;3;5586
290930 CORRENTINA;10662;216;84;-;12;2;10976
290940 COTEGIPE;2604;1541;88;-;32;2;4267
290950 CRAVOLANDIA;1789;19;46;-;1;-;1855
290960 CRISOPOLIS;6686;24;26;-;10;-;6746
290970 CRISTOPOLIS;2759;1264;42;-;25;-;4090
290980 CRUZ DAS ALMAS;18499;471;43;-;5;11;19029
290990 CURACA;12626;21;296;-;125;-;13068
291000 DARIO MEIRA;3716;43;403;-;17;-;4179
291005 DIAS D'AVILA;24914;183;139;-;25;2;25263
291010 DOM BASILIO;2443;860;35;-;6;2;3346
291020 DOM MACEDO COSTA;1125;22;9;-;3;1;1160
291030 ELISIO MEDRADO;2019;41;3;-;5;-;2068
291040 ENCRUZILHADA;7337;19;201;-;40;1;7598
291050 ENTRE RIOS;14219;87;207;-;65;-;14578
291060 ESPLANADA;12339;24;122;-;50;5;12540
291070 EUCLIDES DA CUNHA;18184;56;35;-;13;1;18289
291072 EUNAPOLIS;42842;13;183;-;20;2;43060
291075 FATIMA;4527;716;94;-;21;4;5362
291077 FEIRA DA MATA;1007;27;28;-;6;-;1068
291080 FEIRA DE SANTANA;215050;246;457;-;211;24;215988
291085 FILADELFIA;6278;30;50;-;9;-;6367
291090 FIRMINO ALVES;1508;6;15;-;5;-;1534
291100 FLORESTA AZUL;3260;3;58;-;16;-;3337
291110 FORMOSA DO RIO PRETO;7742;1337;120;-;26;1;9226
291120 GANDU;12172;19;101;-;10;1;12303
291125 GAVIAO;966;194;25;-;1;12;1198
291130 GENTIO DO OURO;3192;62;88;-;28;1;3371
291140 GLORIA;5326;143;20;-;8;-;5497
291150 GONGOGI;2218;19;49;-;4;-;2290
291160 GOVERNADOR MANGABEIRA;5911;263;36;-;146;-;6356
291165 GUAJERU;1947;214;65;-;3;-;2229
291170 GUANAMBI;28045;16;87;-;26;-;28174
291180 GUARATINGA;6626;18;69;-;18;-;6731
291185 HELIOPOLIS;3336;285;63;-;7;-;3691
291190 IACU;9952;271;104;-;10;-;10337
291200 IBIASSUCE;2858;12;5;-;1;-;2876
291210 IBICARAI;8290;-;126;-;21;-;8437
291220 IBICOARA;7002;64;81;-;22;-;7169
291230 IBICUI;4550;5;47;-;4;-;4606
291240 IBIPEBA;5337;164;50;-;4;-;5555
291250 IBIPITANGA;2942;635;86;-;44;1;3708
291260 IBIQUERA;1094;284;37;-;12;-;1427
291270 IBIRAPITANGA;9169;9;356;-;19;1;9554
291280 IBIRAPUA;2176;11;35;-;7;-;2229
291290 IBIRATAIA;8119;6;35;-;3;1;8164
291300 IBITIARA;4277;68;171;-;5;-;4521
291310 IBITITA;4414;1545;35;-;-;-;5994
291320 IBOTIRAMA;10114;176;136;-;16;-;10442
291330 ICHU;1480;80;26;-;2;-;1588
291340 IGAPORA;3978;13;21;-;8;-;4020
291345 IGRAPIUNA;3965;63;433;-;18;-;4479
291350 IGUAI;8839;12;268;-;-;1;9120
291360 ILHEUS;64411;78;251;-;68;2;64810
291370 INHAMBUPE;11677;139;160;-;10;-;11986
291380 IPECAETA;3614;502;153;-;5;1;4275
291390 IPIAU;16265;20;77;-;15;-;16377
291400 IPIRA;17550;1610;31;-;19;-;19210
291410 IPUPIARA;2234;177;4;-;183;-;2598
291420 IRAJUBA;2250;41;40;-;8;-;2339
291430 IRAMAIA;2616;332;139;-;13;-;3100
291440 IRAQUARA;9142;59;30;-;-;-;9231
291450 IRARA;8306;19;38;-;7;-;8370
291460 IRECE;25496;3190;179;-;17;-;28882
291465 ITABELA;12751;3;243;-;17;-;13014
291470 ITABERABA;19909;3883;128;-;14;-;23934
291480 ITABUNA;74188;50;176;-;32;1;74447
291490 ITACARE;7533;14;109;-;42;-;7698
291500 ITAETE;4183;1249;303;-;18;-;5753
291510 ITAGI;4908;196;253;-;16;-;5373
291520 ITAGIBA;5107;15;20;-;4;-;5146
291530 ITAGIMIRIM;2350;53;15;-;10;-;2428
291535 ITAGUACU DA BAHIA;4353;43;104;-;10;-;4510
291540 ITAJU DO COLONIA;2395;28;11;-;18;1;2453
291550 ITAJUIPE;7241;6;136;-;7;-;7390
291560 ITAMARAJU;26179;29;198;-;37;1;26444
291570 ITAMARI;3111;6;6;-;22;-;3145
291580 ITAMBE;7711;11;94;-;3;1;7820
291590 ITANAGRA;2017;21;146;-;44;1;2229
291600 ITANHEM;5566;6;21;-;4;-;5597
291610 ITAPARICA;6298;9;9;-;6;-;6322
291620 ITAPE;3240;4;50;-;7;-;3301
291630 ITAPEBI;3599;23;267;-;19;1;3909
291640 ITAPETINGA;25557;45;135;-;4;4;25745
291650 ITAPICURU;8870;166;180;-;71;-;9287
291660 ITAPITANGA;2537;2;15;-;11;-;2565
291670 ITAQUARA;2572;38;41;-;7;2;2660
291680 ITARANTIM;5563;9;7;-;5;-;5584
291685 ITATIM;4729;14;8;-;2;1;4754
291690 ITIRUCU;3857;73;30;-;5;1;3966
291700 ITIUBA;6572;7264;269;-;28;1;14134
291710 ITORORO;6604;4;53;-;5;-;6666
291720 ITUACU;5486;617;66;-;8;2;6179
291730 ITUBERA;10017;107;239;-;12;1;10376
291733 IUIU;2819;396;324;-;13;18;3570
291735 JABORANDI;2958;17;28;-;-;-;3003
291740 JACARACI;3323;7;21;-;2;-;3353
291750 JACOBINA;29879;337;308;-;28;3;30555
291760 JAGUAQUARA;18166;1466;233;-;14;2;19881
291770 JAGUARARI;10492;22;59;-;24;-;10597
291780 JAGUARIPE;4277;194;112;-;17;-;4600
291790 JANDAIRA;3092;6;211;-;10;-;3319
291800 JEQUIE;56969;99;767;-;93;2;57930
291810 JEREMOABO;12627;141;86;-;20;-;12874
291820 JIQUIRICA;3996;40;41;-;7;-;4084
291830 JITAUNA;4368;9;406;-;16;-;4799
291835 JOAO DOURADO;9755;380;11;-;3;-;10149
291840 JUAZEIRO;94965;71;744;-;195;4;95979
291845 JUCURUCU;2123;5;106;-;28;-;2262
291850 JUSSARA;6040;53;136;-;6;1;6236
291855 JUSSARI;2198;3;20;-;11;1;2233
291860 JUSSIAPE;1219;375;24;-;7;6;1631
291870 LAFAIETE COUTINHO;941;7;21;-;8;-;977
291875 LAGOA REAL;2811;94;66;-;8;-;2979
291880 LAJE;7613;75;47;-;17;-;7752
291890 LAJEDAO;940;4;13;-;1;-;958
291900 LAJEDINHO;1088;120;59;-;3;2;1272
291905 LAJEDO DO TABOCAL;2161;52;25;-;7;2;2247
291910 LAMARAO;2018;7;138;-;-;-;2163
291915 LAPAO;10215;361;14;-;6;1;10597
291920 LAURO DE FREITAS;65316;356;78;-;34;6;65790
291930 LENCOIS;3155;98;98;-;64;3;3418
291940 LICINIO DE ALMEIDA;3417;13;4;-;3;-;3437
291950 LIVRAMENTO DE NOSSA SENHORA;12094;1310;38;-;9;39;13490
291955 LUIS EDUARDO MAGALHAES;22038;8356;83;-;43;2;30522
291960 MACAJUBA;3997;29;119;-;4;2;4151
291970 MACARANI;5218;53;240;-;8;1;5520
291980 MACAUBAS;13270;115;274;-;11;-;13670
291990 MACURURE;1428;1076;98;-;8;1;2611
291992 MADRE DE DEUS;6181;114;10;-;4;-;6309
291995 MAETINGA;1572;330;126;-;17;-;2045
292000 MAIQUINIQUE;2805;12;10;-;5;-;2832
292010 MAIRI;5536;14;120;-;10;2;5682
292020 MALHADA;5952;16;13;-;13;1;5995
292030 MALHADA DE PEDRAS;1440;1158;53;-;5;-;2656
292040 MANOEL VITORINO;4478;27;216;-;50;1;4772
292045 MANSIDAO;1899;269;35;-;9;1;2213
292050 MARACAS;7743;1204;119;-;27;1;9094
292060 MARAGOGIPE;11097;161;410;-;163;4;11835
292070 MARAU;4187;343;715;-;67;4;5316
292080 MARCIONILIO SOUZA;2351;1327;118;-;16;-;3812
292090 MASCOTE;4386;265;188;-;26;-;4865
292100 MATA DE SAO JOAO;15863;123;84;-;108;2;16180
292105 MATINA;3846;5;96;-;4;-;3951
292110 MEDEIROS NETO;7540;7;30;-;14;-;7591
292120 MIGUEL CALMON;9625;35;37;-;2;2;9701
292130 MILAGRES;4060;9;46;-;8;-;4123
292140 MIRANGABA;4730;50;218;-;20;2;5020
292145 MIRANTE;2205;65;253;-;6;-;2529
292150 MONTE SANTO;16135;268;1060;-;30;2;17495
292160 MORPARA;2563;106;74;-;7;1;2751
292170 MORRO DO CHAPEU;13140;158;93;-;12;2;13405
292180 MORTUGABA;2906;32;8;-;15;-;2961
292190 MUCUGE;4139;40;4;-;2;-;4185
292200 MUCURI;14730;25;21;-;9;-;14785
292205 MULUNGU DO MORRO;5306;22;67;-;7;-;5402
292210 MUNDO NOVO;6805;32;44;-;17;1;6899
292220 MUNIZ FERREIRA;1748;128;1;-;4;1;1882
292225 MUQUEM DE SAO FRANCISCO;3899;72;62;-;12;-;4045
292230 MURITIBA;7689;62;25;-;9;1;7786
292240 MUTUIPE;7149;73;42;-;6;-;7270
292250 NAZARE;7390;682;14;-;12;1;8099
292260 NILO PECANHA;3944;152;294;-;15;1;4406
292265 NORDESTINA;2593;1431;106;-;9;2;4141
292270 NOVA CANAA;4474;6;72;-;7;-;4559
292273 NOVA FATIMA;1867;115;15;-;1;-;1998
292275 NOVA IBIA;1745;-;64;-;1;-;1810
292280 NOVA ITARANA;2462;94;54;-;35;1;2646
292285 NOVA REDENCAO;1771;835;159;-;19;2;2786
292290 NOVA SOURE;8284;18;219;-;10;1;8532
292300 NOVA VICOSA;13133;192;56;-;10;1;13392
292303 NOVO HORIZONTE;3191;20;17;-;1;-;3229
292305 NOVO TRIUNFO;2809;25;75;-;1;-;2910
292310 OLINDINA;8574;35;13;-;15;-;8637
292320 OLIVEIRA DOS BREJINHOS;4275;2353;90;-;7;-;6725
292330 OURICANGAS;2280;15;26;-;5;-;2326
292335 OUROLANDIA;5047;1811;50;-;4;1;6913
292340 PALMAS DE MONTE ALTO;6509;10;25;-;17;-;6561
292350 PALMEIRAS;2838;34;422;-;3;1;3298
292360 PARAMIRIM;5572;48;4;-;3;-;5627
292370 PARATINGA;10918;449;45;-;16;-;11428
292380 PARIPIRANGA;4895;3176;58;-;39;-;8168
292390 PAU BRASIL;4428;3;63;-;11;-;4505
292400 PAULO AFONSO;41122;1836;69;-;25;8;43060
292405 PE DE SERRA;3852;80;110;-;12;1;4055
292410 PEDRAO;1505;85;119;-;13;-;1722
292420 PEDRO ALEXANDRE;3853;909;36;-;22;-;4820
292430 PIATA;5354;1112;31;-;21;1;6519
292440 PILAO ARCADO;12438;116;402;-;17;1;12974
292450 PINDAI;4481;5;16;-;2;-;4504
292460 PINDOBACU;7045;26;1;-;6;-;7078
292465 PINTADAS;2594;19;24;-;4;-;2641
292467 PIRAI DO NORTE;2487;61;193;-;10;-;2751
292470 PIRIPA;2268;288;82;-;7;-;2645
292480 PIRITIBA;6377;25;29;-;22;-;6453
