 Nascidos vivos - Brasil;;;;;;;;;;
Nascim p/resid.mãe por Município e Instrução da mãe;;;;;;;;;;
Período:2000-2022;;;;;;;;;;
Município;Nenhuma;1 a 3 anos;4 a 7 anos;8 a 11 anos;12 anos e mais;9 a 11 anos;1º grau incompleto;1º grau completo;Ignorado;Total
270210 COLONIA LEOPOLDINA;993;1623;2900;2013;374;-;-;-;154;8057
270220 COQUEIRO SECO;102;267;830;809;102;-;-;-;35;2145
270230 CORURIPE;1449;2752;6526;9187;1687;1;-;-;485;22087
270235 CRAIBAS;1098;2096;3616;2869;333;-;1;-;282;10295
270240 DELMIRO GOUVEIA;1034;3095;7260;7476;1668;-;-;-;304;20837
270250 DOIS RIACHOS;662;996;1614;957;192;-;-;-;46;4467
270255 ESTRELA DE ALAGOAS;446;1034;2038;1811;297;-;-;-;78;5704
270260 FEIRA GRANDE;650;1659;3293;2458;294;-;-;-;297;8651
270270 FELIZ DESERTO;83;241;548;692;112;-;-;-;44;1720
270280 FLEXEIRAS;594;850;1801;1611;182;-;-;-;187;5225
270290 GIRAU DO PONCIANO;1353;2738;4914;3971;813;-;-;-;354;14143
270300 IBATEGUARA;711;1450;2108;1880;256;-;-;-;61;6466
270310 IGACI;673;1645;3241;2707;549;-;-;-;151;8966
270320 IGREJA NOVA;602;1461;3288;3156;421;-;-;-;461;9389
270330 INHAPI;1112;2109;2784;1630;288;-;-;-;100;8023
270340 JACARE DOS HOMENS;236;716;905;694;108;-;-;-;76;2735
270350 JACUIPE;321;423;795;606;108;-;-;-;33;2286
270360 JAPARATINGA;392;627;1121;1158;199;-;1;-;49;3547
270370 JARAMATAIA;277;562;847;639;115;-;-;-;58;2498
270375 JEQUIA DA PRAIA;348;454;1241;1423;289;-;-;-;85;3840
270380 JOAQUIM GOMES;1510;1891;3116;2519;294;-;-;-;1164;10494
270390 JUNDIA;204;282;491;436;75;-;-;-;32;1520
270400 JUNQUEIRO;517;1460;2786;2728;560;-;-;-;1211;9262
270410 LAGOA DA CANOA;509;1468;2976;2454;319;-;-;-;146;7872
270420 LIMOEIRO DE ANADIA;834;1798;2955;2459;407;-;-;-;364;8817
270430 MACEIO;9347;28020;97170;153549;60791;-;-;-;3967;352844
270440 MAJOR ISIDORO;914;1727;2302;1728;323;-;-;-;121;7115
270450 MARAGOGI;1259;2418;3817;4383;741;-;-;-;200;12818
270460 MARAVILHA;353;745;1491;1164;216;-;1;-;53;4023
270470 MARECHAL DEODORO;1242;1948;6653;8172;1554;-;-;-;158;19727
270480 MARIBONDO;348;805;1759;1626;321;-;-;-;78;4937
270490 MAR VERMELHO;42;153;356;345;76;-;-;-;66;1038
270500 MATA GRANDE;752;2097;3611;2332;375;-;-;-;90;9257
270510 MATRIZ DE CAMARAGIBE;1174;1438;3543;3753;459;-;-;-;211;10578
270520 MESSIAS;560;987;2321;2575;341;-;-;-;108;6892
270530 MINADOR DO NEGRAO;210;343;808;583;140;-;-;-;120;2204
270540 MONTEIROPOLIS;270;788;1168;881;111;-;-;-;36;3254
270550 MURICI;1475;2589;4252;3537;547;-;-;-;142;12542
270560 NOVO LINO;958;838;1279;1080;195;-;-;-;87;4437
270570 OLHO D'AGUA DAS FLORES;627;2150;3021;2575;493;-;-;-;128;8994
270580 OLHO D'AGUA DO CASADO;294;658;1278;931;269;-;-;-;94;3524
270590 OLHO D'AGUA GRANDE;202;437;753;553;84;-;-;-;69;2098
270600 OLIVENCA;337;1092;1671;1170;151;-;-;-;45;4466
270610 OURO BRANCO;266;729;1886;1449;234;-;-;-;59;4623
270620 PALESTINA;126;335;725;928;139;-;-;-;22;2275
270630 PALMEIRA DOS INDIOS;1451;4018;10545;11251;3449;-;2;-;587;31303
270640 PAO DE ACUCAR;660;1630;3292;4281;673;-;-;-;59;10595
270642 PARICONHA;365;836;1418;1336;232;-;-;-;56;4243
270644 PARIPUEIRA;270;645;1582;2109;214;-;-;-;44;4864
270650 PASSO DE CAMARAGIBE;513;834;2093;2048;260;-;-;-;216;5964
270660 PAULO JACINTO;232;368;821;868;172;-;-;-;105;2566
270670 PENEDO;1111;2621;8165;10351;2284;-;-;-;1234;25766
270680 PIACABUCU;391;959;2696;2795;423;-;-;-;369;7633
270690 PILAR;612;1390;5142;5607;958;-;-;-;323;14032
270700 PINDOBA;84;180;315;298;42;-;-;-;83;1002
270710 PIRANHAS;1140;2391;3821;3075;663;-;-;-;210;11300
270720 POCO DAS TRINCHEIRAS;501;1276;2072;1565;192;-;-;-;63;5669
270730 PORTO CALVO;1329;1745;3808;3940;707;-;-;-;164;11693
270740 PORTO DE PEDRAS;214;407;1054;1103;140;-;-;-;54;2972
270750 PORTO REAL DO COLEGIO;485;1228;2581;2543;423;-;1;-;363;7624
270760 QUEBRANGULO;431;764;1572;1369;267;-;-;-;83;4486
270770 RIO LARGO;930;2248;8932;12484;2066;-;-;-;513;27173
270780 ROTEIRO;613;490;1431;956;177;-;-;-;44;3711
270790 SANTA LUZIA DO NORTE;130;357;1031;1144;169;-;-;-;45;2876
270800 SANTANA DO IPANEMA;1462;3849;7203;6807;1445;-;2;-;229;20997
270810 SANTANA DO MUNDAU;350;861;1411;1450;151;-;-;-;55;4278
270820 SAO BRAS;160;371;735;980;150;-;1;-;209;2606
270830 SAO JOSE DA LAJE;1441;2091;3096;2862;486;-;-;-;140;10116
270840 SAO JOSE DA TAPERA;1668;2802;4916;4284;766;-;-;-;178;14614
270850 SAO LUIS DO QUITUNDE;2058;2550;4952;4530;584;-;-;-;246;14920
270860 SAO MIGUEL DOS CAMPOS;2282;2372;7733;9214;2370;-;-;-;408;24379
270870 SAO MIGUEL DOS MILAGRES;124;243;837;1095;164;-;-;-;76;2539
270880 SAO SEBASTIAO;1320;3013;5354;3666;497;-;-;-;647;14497
270890 SATUBA;131;374;1297;2501;578;-;-;-;57;4938
270895 SENADOR RUI PALMEIRA;656;1341;1918;1388;203;-;-;-;59;5565
270900 TANQUE D'ARCA;151;296;630;738;124;-;-;-;44;1983
270910 TAQUARANA;754;1427;2747;2082;407;-;-;-;134;7551
270915 TEOTONIO VILELA;1466;2591;6122;6382;1144;-;-;-;483;18188
270920 TRAIPU;991;1873;3390;2495;422;-;-;-;249;9420
270930 UNIAO DOS PALMARES;2222;5381;9284;9839;1557;-;-;-;318;28601
270940 VICOSA;707;1613;3337;3860;598;-;-;-;833;10948
 MUNICIPIO IGNORADO - SE;3;7;6;3;1;-;-;-;1;21
280010 AMPARO DE SAO FRANCISCO;13;60;197;469;82;-;-;-;21;842
280020 AQUIDABA;228;1114;2588;2262;507;-;-;-;118;6817
280030 ARACAJU;1769;13568;49797;91788;53754;-;16;-;1905;212597
280040 ARAUA;243;676;1421;1416;339;-;-;-;106;4201
280050 AREIA BRANCA;252;1069;2547;2386;376;-;-;-;99;6729
280060 BARRA DOS COQUEIROS;140;889;3091;4995;1485;-;-;-;100;10700
280067 BOQUIM;522;1457;3239;2878;826;-;-;-;301;9223
280070 BREJO GRANDE;113;506;1283;1016;166;-;1;-;113;3198
280100 CAMPO DO BRITO;295;1173;2061;2078;543;-;-;-;52;6202
280110 CANHOBA;106;316;587;562;73;-;-;-;131;1775
280120 CANINDE DE SAO FRANCISCO;919;2551;4728;3832;664;-;-;-;439;13133
280130 CAPELA;458;1651;4611;4942;802;-;-;-;370;12834
280140 CARIRA;560;1619;2677;2173;443;1;-;-;255;7728
280150 CARMOPOLIS;104;486;1854;2501;464;-;-;-;594;6003
280160 CEDRO DE SAO JOAO;46;182;642;709;222;-;-;-;54;1855
280170 CRISTINAPOLIS;457;1398;2692;2201;515;-;-;-;234;7497
280190 CUMBE;38;173;438;482;91;-;-;-;21;1243
280200 DIVINA PASTORA;68;177;541;743;127;-;-;-;73;1729
280210 ESTANCIA;829;3206;8212;10232;3123;-;1;-;325;25928
280220 FEIRA NOVA;104;362;795;821;117;-;-;-;49;2248
280230 FREI PAULO;202;808;2047;1860;305;-;-;-;195;5417
280240 GARARU;187;593;1248;1131;191;-;-;-;336;3686
280250 GENERAL MAYNARD;14;77;225;438;97;-;-;-;50;901
280260 GRACHO CARDOSO;84;352;723;601;108;-;-;-;60;1928
280270 ILHA DAS FLORES;149;451;1307;1300;179;1;-;-;108;3495
280280 INDIAROBA;506;1279;2582;2243;460;-;-;-;77;7147
280290 ITABAIANA;1094;5216;11956;12164;3508;-;2;-;241;34181
280300 ITABAIANINHA;887;3191;5626;4467;1000;-;2;-;443;15616
280310 ITABI;69;200;528;495;115;-;-;-;41;1448
280320 ITAPORANGA D'AJUDA;201;1194;3422;5213;717;-;-;-;2218;12965
280330 JAPARATUBA;111;597;1947;2640;542;-;-;-;290;6127
280340 JAPOATA;227;756;1877;1968;286;-;-;-;160;5274
280350 LAGARTO;1259;6411;11704;12247;3499;-;-;-;809;35929
280360 LARANJEIRAS;207;1220;3703;4908;781;-;1;-;211;11031
280370 MACAMBIRA;72;402;849;893;152;-;-;-;13;2381
280380 MALHADA DOS BOIS;44;186;454;704;143;-;-;-;38;1569
280390 MALHADOR;151;537;1641;1599;275;-;-;-;97;4300
280400 MARUIM;160;812;2662;2714;431;1;2;-;120;6902
280410 MOITA BONITA;110;503;1327;1148;259;-;1;-;53;3401
280420 MONTE ALEGRE DE SERGIPE;360;1049;2195;1782;305;-;1;-;144;5836
280430 MURIBECA;61;327;872;1105;245;-;-;-;109;2719
280440 NEOPOLIS;235;896;2415;2300;481;-;1;-;240;6568
280445 NOSSA SENHORA APARECIDA;125;522;890;941;195;-;-;-;75;2748
280450 NOSSA SENHORA DA GLORIA;494;1938;4981;4713;1125;-;-;-;222;13473
280460 NOSSA SENHORA DAS DORES;476;1446;3289;3052;638;-;-;-;351;9252
280470 NOSSA SENHORA DE LOURDES;90;245;697;794;195;-;-;-;77;2098
280480 NOSSA SENHORA DO SOCORRO;864;5660;21163;32901;6304;-;1;1;1202;68096
280490 PACATUBA;228;945;1849;1830;332;-;-;-;202;5386
280500 PEDRA MOLE;36;157;277;399;63;-;-;-;16;948
280510 PEDRINHAS;252;436;1117;1030;259;-;-;-;96;3190
280520 PINHAO;159;442;639;871;106;-;-;-;43;2260
280530 PIRAMBU;45;411;1376;1306;315;-;-;-;105;3558
280540 POCO REDONDO;1057;2214;4289;3771;566;-;-;-;495;12392
280550 POCO VERDE;331;1651;2247;2307;532;-;-;-;342;7410
280560 PORTO DA FOLHA;495;1575;3323;3285;538;-;-;-;1104;10320
280570 PROPRIA;256;984;3152;4582;1471;1;1;-;514;10961
280580 RIACHAO DO DANTAS;530;1831;2648;1775;339;-;-;-;353;7476
280590 RIACHUELO;351;327;1115;1614;251;-;-;-;390;4048
280600 RIBEIROPOLIS;208;722;1648;1919;490;-;-;-;73;5060
280610 ROSARIO DO CATETE;71;352;1209;1775;362;-;-;-;97;3866
280620 SALGADO;318;1313;2116;2287;478;-;-;-;176;6688
280630 SANTA LUZIA DO ITANHY;447;1203;2140;1694;296;-;1;-;67;5848
280640 SANTANA DO SAO FRANCISCO;57;237;951;1089;175;-;-;-;55;2564
280650 SANTA ROSA DE LIMA;71;221;540;612;127;-;-;-;36;1607
280660 SANTO AMARO DAS BROTAS;76;422;1412;2003;325;-;-;-;76;4314
280670 SAO CRISTOVAO;465;3132;9665;13754;3589;-;-;-;525;31130
280680 SAO DOMINGOS;151;593;1206;1231;258;-;-;-;61;3500
280690 SAO FRANCISCO;29;152;331;473;96;-;1;1;29;1112
280700 SAO MIGUEL DO ALEIXO;87;288;417;407;67;-;-;-;31;1297
280710 SIMAO DIAS;652;2307;4782;5414;1358;-;2;-;348;14863
280720 SIRIRI;61;383;1028;1214;203;-;-;-;81;2970
280730 TELHA;31;96;368;465;108;-;-;-;39;1107
280740 TOBIAS BARRETO;1317;3762;6315;4756;1124;-;1;-;529;17804
280750 TOMAR DO GERU;284;1077;1816;1382;308;-;1;-;113;4981
280760 UMBAUBA;490;1599;3596;3128;784;-;-;-;195;9792
 MUNICIPIO IGNORADO - BA;21;95;217;169;49;-;-;-;616;1167
290010 ABAIRA;26;211;388;580;124;1;1;-;58;1389
290020 ABARE;357;966;2103;2940;435;-;-;-;156;6957
290030 ACAJUTIBA;181;865;1998;1847;318;-;-;-;153;5362
290035 ADUSTINA;365;883;1614;1255;221;-;2;-;186;4526
290040 AGUA FRIA;167;742;1144;1145;152;-;-;-;822;4172
290050 ERICO CARDOSO;110;447;697;835;168;-;-;-;531;2788
290060 AIQUARA;33;208;511;549;116;-;-;-;37;1454
290070 ALAGOINHAS;524;2853;12163;27015;6909;-;1;-;971;50436
290080 ALCOBACA;171;834;2800;2924;495;-;2;-;434;7660
290090 ALMADINA;68;260;705;681;97;-;-;-;44;1855
290100 AMARGOSA;306;1180;3955;4266;1513;-;-;-;490;11710
290110 AMELIA RODRIGUES;84;467;1331;2418;493;-;-;-;2161;6954
290115 AMERICA DOURADA;306;868;1778;2408;236;-;-;-;122;5718
290120 ANAGE;507;1136;2257;2160;349;-;-;1;318;6728
290130 ANDARAI;288;642;1537;1713;238;-;-;-;414;4832
290135 ANDORINHA;219;641;1563;1604;348;-;-;-;79;4454
290140 ANGICAL;151;473;1202;2259;321;-;-;-;102;4508
290150 ANGUERA;46;190;441;699;106;-;-;-;791;2273
290160 ANTAS;178;512;1248;1324;232;1;-;-;333;3828
290170 ANTONIO CARDOSO;66;289;714;1092;94;-;-;-;1438;3693
290180 ANTONIO GONCALVES;122;365;860;1267;324;-;-;-;70;3008
290190 APORA;299;812;1615;1811;333;-;-;-;276;5146
290195 APUAREMA;77;266;902;827;179;-;-;-;96;2347
290200 ARACATU;200;761;1278;1392;228;-;-;-;480;4339
290205 ARACAS;158;499;1288;1779;332;-;-;-;244;4300
290210 ARACI;1440;3968;5874;4429;814;-;3;-;2245;18773
290220 ARAMARI;41;307;913;1425;239;-;-;-;76;3001
290225 ARATACA;396;644;1055;1023;131;-;-;-;97;3346
290230 ARATUIPE;60;334;975;1108;189;-;-;-;56;2722
290240 AURELINO LEAL;213;825;1784;1771;321;-;-;-;188;5102
290250 BAIANOPOLIS;165;661;1490;1971;241;-;-;-;80;4608
290260 BAIXA GRANDE;187;1273;1977;1804;258;-;-;-;879;6378
290265 BANZAE;189;684;1219;1315;277;-;-;-;520;4204
290270 BARRA;466;3729;6115;8302;785;-;-;-;547;19944
290280 BARRA DA ESTIVA;321;1610;2801;3582;591;-;-;-;210;9115
290290 BARRA DO CHOCA;982;2373;4872;3806;744;-;-;-;740;13517
290300 BARRA DO MENDES;63;369;1734;2346;336;-;-;-;36;4884
290310 BARRA DO ROCHA;74;263;704;710;172;-;-;-;65;1988
290320 BARREIRAS;908;4315;12920;31551;9209;-;-;-;1522;60425
290323 BARRO ALTO;55;618;1424;1972;234;-;-;-;77;4380
290327 BARROCAS;80;412;1125;1722;356;-;-;-;663;4358
290330 BARRO PRETO;68;315;639;763;149;-;1;-;71;2006
290340 BELMONTE;427;1050;2976;2795;469;-;-;-;279;7996
290350 BELO CAMPO;249;994;1881;1842;354;-;-;-;517;5837
290360 BIRITINGA;267;891;1635;1314;195;-;-;-;909;5211
290370 BOA NOVA;226;745;1306;1602;309;-;-;-;475;4663
290380 BOA VISTA DO TUPIM;172;717;2182;2553;303;-;-;-;682;6609
290390 BOM JESUS DA LAPA;500;1982;6327;10439;2566;-;-;-;3471;25285
290395 BOM JESUS DA SERRA;191;831;1113;942;125;1;-;-;148;3351
290400 BONINAL;95;677;1163;2017;326;-;-;-;125;4403
290405 BONITO;336;942;1996;2265;261;-;-;-;194;5994
290410 BOQUIRA;182;1043;1862;3108;426;-;1;-;177;6799
290420 BOTUPORA;83;592;1210;1263;286;-;-;-;168;3602
290430 BREJOES;178;805;1592;1767;358;-;-;-;283;4983
290440 BREJOLANDIA;46;206;629;1027;129;-;-;-;193;2230
290450 BROTAS DE MACAUBAS;41;678;1020;1250;150;-;-;-;91;3230
290460 BRUMADO;336;1822;5226;8146;2250;1;-;-;3828;21609
290470 BUERAREMA;280;1231;2347;2479;405;-;-;-;186;6928
290475 BURITIRAMA;167;1519;2363;2744;258;-;-;-;173;7224
290480 CAATIBA;87;332;834;666;196;-;-;-;183;2298
290485 CABACEIRAS DO PARAGUACU;241;921;1716;2470;255;-;-;-;212;5815
290490 CACHOEIRA;69;483;2285;3656;901;-;-;-;2416;9810
290500 CACULE;183;834;1967;2694;468;1;-;-;578;6725
290510 CAEM;189;674;1634;1538;122;-;-;-;159;4316
290515 CAETANOS;130;567;966;1221;215;-;1;-;98;3198
290520 CAETITE;228;2086;5105;6097;2189;-;-;-;682;16387
290530 CAFARNAUM;209;1441;2388;2701;393;-;-;-;144;7276
290540 CAIRU;121;571;1798;2535;543;-;-;-;74;5642
290550 CALDEIRAO GRANDE;207;662;1487;1640;218;-;-;-;230;4444
290560 CAMACAN;697;1900;3983;4106;787;-;-;-;335;11808
290570 CAMACARI;859;5561;24348;47657;10870;-;1;-;1878;91174
290580 CAMAMU;632;1827;4123;4784;652;-;-;-;1446;13464
290590 CAMPO ALEGRE DE LOURDES;267;2314;4676;3878;632;-;-;-;266;12033
290600 CAMPO FORMOSO;860;3970;7813;10797;3429;-;-;-;1007;27876
290610 CANAPOLIS;121;518;669;860;126;-;-;-;892;3186
290620 CANARANA;315;1202;3494;3888;531;-;-;-;244;9674
290630 CANAVIEIRAS;519;1697;5251;3626;653;-;-;-;588;12334
290640 CANDEAL;64;256;556;848;101;-;-;-;648;2473
290650 CANDEIAS;205;1317;6703;14187;2818;-;-;-;584;25814
290660 CANDIBA;57;377;1166;1195;518;-;-;-;548;3861
290670 CANDIDO SALES;424;1449;3262;3335;754;-;-;-;252;9476
290680 CANSANCAO;617;2100;3507;3730;428;-;-;1;943;11326
290682 CANUDOS;155;512;1855;1888;422;-;-;-;479;5311
290685 CAPELA DO ALTO ALEGRE;83;363;832;1029;199;-;1;-;369;2876
290687 CAPIM GROSSO;269;1194;3601;4620;860;-;-;-;754;11298
290689 CARAIBAS;196;413;905;999;125;-;-;-;67;2705
290690 CARAVELAS;271;694;2066;2761;449;-;-;-;358;6599
290700 CARDEAL DA SILVA;150;493;983;1156;157;-;-;-;213;3152
290710 CARINHANHA;305;1239;3291;4770;669;-;-;-;169;10443
290720 CASA NOVA;786;4537;8071;10231;1489;-;-;-;1168;26282
290730 CASTRO ALVES;213;845;2282;3897;856;-;2;-;410;8505
290740 CATOLANDIA;30;105;329;552;54;-;-;-;17;1087
290750 CATU;186;965;4219;7517;2311;-;2;-;408;15608
290755 CATURAMA;41;292;577;669;170;-;-;-;665;2414
290760 CENTRAL;150;725;2080;2630;406;-;-;-;170;6161
290770 CHORROCHO;173;630;1089;1761;303;-;-;-;185;4141
290780 CICERO DANTAS;782;1693;3147;2881;569;-;-;-;457;9529
290790 CIPO;657;829;1867;1900;430;-;-;-;766;6449
290800 COARACI;264;1273;2677;2605;578;-;1;-;250;7648
290810 COCOS;260;844;1557;1561;335;-;-;-;1481;6038
290820 CONCEICAO DA FEIRA;52;300;1376;2797;377;-;-;-;1061;5963
290830 CONCEICAO DO ALMEIDA;90;437;1367;1815;463;-;-;-;284;4456
290840 CONCEICAO DO COITE;537;2754;6539;10238;2822;-;1;-;1467;24358
290850 CONCEICAO DO JACUIPE;71;483;1748;3835;718;-;-;-;2506;9361
290860 CONDE;444;1743;2674;2965;444;-;-;-;459;8729
290870 CONDEUBA;136;1048;1613;1822;421;-;1;-;211;5252
290880 CONTENDAS DO SINCORA;32;149;303;392;92;-;-;-;171;1139
290890 CORACAO DE MARIA;190;638;1435;2514;358;1;-;-;2034;7170
290900 CORDEIROS;64;367;650;753;192;-;-;-;94;2120
290910 CORIBE;96;551;1332;1773;297;1;-;-;323;4373
290920 CORONEL JOAO SA;712;1151;1917;1284;390;-;-;-;132;5586
290930 CORRENTINA;466;1527;3257;2990;880;-;-;-;1856;10976
290940 COTEGIPE;238;640;1162;1793;250;-;-;-;184;4267
290950 CRAVOLANDIA;73;301;646;554;160;-;-;-;121;1855
290960 CRISOPOLIS;551;1542;2310;1842;270;-;-;-;231;6746
290970 CRISTOPOLIS;154;554;1092;1963;234;-;-;-;93;4090
290980 CRUZ DAS ALMAS;274;1993;4334;9100;2617;-;-;-;711;19029
290990 CURACA;458;2222;3969;5346;924;-;-;-;149;13068
291000 DARIO MEIRA;266;769;1332;1182;262;-;-;-;368;4179
291005 DIAS D'AVILA;226;1882;7659;12483;2592;-;-;-;421;25263
291010 DOM BASILIO;88;416;1023;1216;260;-;-;-;343;3346
291020 DOM MACEDO COSTA;12;119;308;501;188;-;-;-;32;1160
291030 ELISIO MEDRADO;32;235;623;891;240;-;-;-;47;2068
291040 ENCRUZILHADA;522;1704;2694;2062;319;-;-;-;297;7598
291050 ENTRE RIOS;519;2365;4510;4773;1038;-;2;-;1371;14578
291060 ESPLANADA;524;1787;4269;4806;766;-;-;-;388;12540
291070 EUCLIDES DA CUNHA;925;2592;5244;5871;993;-;-;-;2664;18289
291072 EUNAPOLIS;799;3995;12260;18608;5798;-;-;-;1600;43060
291075 FATIMA;540;991;1723;1659;258;-;1;-;190;5362
291077 FEIRA DA MATA;18;90;226;426;99;-;-;-;209;1068
291080 FEIRA DE SANTANA;1435;8185;30786;86893;26441;5;6;2;62235;215988
291085 FILADELFIA;155;948;2048;2477;524;-;-;-;215;6367
291090 FIRMINO ALVES;31;235;529;615;82;-;-;-;42;1534
291100 FLORESTA AZUL;105;534;1245;1110;229;-;-;-;114;3337
291110 FORMOSA DO RIO PRETO;317;1265;2653;3963;762;-;-;-;266;9226
291120 GANDU;479;1973;4161;4485;937;-;-;-;268;12303
291125 GAVIAO;22;158;368;452;90;-;-;-;108;1198
291130 GENTIO DO OURO;104;595;1029;1160;145;-;-;-;338;3371
291140 GLORIA;253;928;1881;1968;376;-;-;-;91;5497
291150 GONGOGI;90;370;807;788;168;-;-;-;67;2290
291160 GOVERNADOR MANGABEIRA;149;625;1558;3245;417;-;-;-;362;6356
291165 GUAJERU;132;321;818;632;146;-;-;-;180;2229
291170 GUANAMBI;403;2349;6614;13668;4780;-;-;-;360;28174
291180 GUARATINGA;363;978;2295;2603;339;-;-;-;153;6731
291185 HELIOPOLIS;331;723;1250;1066;148;-;-;-;173;3691
291190 IACU;352;1683;3473;3844;601;-;-;-;384;10337
291200 IBIASSUCE;48;494;898;1043;284;-;-;-;109;2876
291210 IBICARAI;222;1270;2684;2934;746;-;-;-;581;8437
291220 IBICOARA;214;1184;2273;2821;468;-;-;-;209;7169
291230 IBICUI;150;712;1848;1408;336;-;-;-;152;4606
291240 IBIPEBA;74;441;1872;2738;324;-;-;-;106;5555
291250 IBIPITANGA;102;522;1058;1241;405;-;-;-;380;3708
291260 IBIQUERA;65;144;484;491;63;-;-;-;180;1427
291270 IBIRAPITANGA;645;1868;3460;2845;431;-;-;-;305;9554
291280 IBIRAPUA;24;128;638;1032;241;-;-;-;166;2229
291290 IBIRATAIA;400;1309;2888;2617;527;-;-;-;423;8164
291300 IBITIARA;190;781;1391;1708;272;1;-;-;178;4521
291310 IBITITA;128;789;1972;2609;372;-;-;-;124;5994
291320 IBOTIRAMA;170;989;3275;4785;885;-;-;-;338;10442
291330 ICHU;28;139;365;516;141;-;-;-;399;1588
291340 IGAPORA;60;426;1148;1852;417;-;-;-;117;4020
291345 IGRAPIUNA;255;561;1277;1688;238;-;-;-;460;4479
291350 IGUAI;396;1658;2546;1516;482;-;-;-;2522;9120
291360 ILHEUS;785;6753;18121;25432;6161;-;-;-;7558;64810
291370 INHAMBUPE;781;1948;3525;4136;695;-;-;-;901;11986
291380 IPECAETA;196;615;934;1253;137;-;-;-;1140;4275
291390 IPIAU;321;1519;4972;6742;2192;-;-;-;631;16377
291400 IPIRA;607;2752;6258;5922;1187;-;-;-;2484;19210
291410 IPUPIARA;24;478;902;879;191;-;-;-;124;2598
291420 IRAJUBA;94;426;850;703;145;-;-;-;121;2339
291430 IRAMAIA;122;558;918;949;151;-;-;-;402;3100
291440 IRAQUARA;205;1107;2891;4199;696;-;-;-;133;9231
291450 IRARA;312;850;2029;2546;494;-;-;-;2139;8370
291460 IRECE;421;1854;7563;14710;4068;-;1;-;265;28882
291465 ITABELA;678;1814;4557;4663;696;-;-;-;606;13014
291470 ITABERABA;481;2399;7114;10309;2517;-;2;-;1112;23934
291480 ITABUNA;913;6806;19389;34799;12163;-;-;-;377;74447
291490 ITACARE;286;1256;2701;2562;519;-;-;-;374;7698
291500 ITAETE;225;775;1706;2102;358;-;4;16;567;5753
291510 ITAGI;223;941;1848;1630;351;-;-;-;380;5373
291520 ITAGIBA;206;812;1512;1960;462;-;-;-;194;5146
291530 ITAGIMIRIM;102;336;787;857;219;-;-;-;127;2428
291535 ITAGUACU DA BAHIA;162;825;1451;1719;163;-;-;-;190;4510
291540 ITAJU DO COLONIA;117;422;939;671;148;-;-;-;156;2453
291550 ITAJUIPE;302;1235;2454;2674;561;-;-;-;164;7390
291560 ITAMARAJU;894;2831;10913;8956;2091;-;-;-;759;26444
291570 ITAMARI;148;565;1209;1002;175;-;-;-;46;3145
291580 ITAMBE;305;1185;3036;2604;471;-;-;-;219;7820
291590 ITANAGRA;90;341;855;790;122;-;-;-;31;2229
291600 ITANHEM;186;556;1825;2013;640;-;-;1;376;5597
291610 ITAPARICA;65;604;2016;3094;421;-;-;-;122;6322
291620 ITAPE;69;550;1098;1337;215;-;-;-;32;3301
291630 ITAPEBI;189;611;1301;1321;260;-;-;-;227;3909
291640 ITAPETINGA;334;2143;8858;9600;2240;-;-;-;2570;25745
291650 ITAPICURU;857;2180;3609;2056;284;-;-;-;301;9287
291660 ITAPITANGA;119;546;953;711;160;-;-;-;76;2565
291670 ITAQUARA;162;402;861;871;148;-;-;-;216;2660
291680 ITARANTIM;98;692;2103;1768;445;-;-;-;478;5584
291685 ITATIM;129;665;1329;1683;308;-;-;-;640;4754
291690 ITIRUCU;148;394;1234;1358;416;-;-;1;415;3966
291700 ITIUBA;694;3184;4063;4978;515;-;-;-;700;14134
291710 ITORORO;210;1121;2502;2231;259;-;1;-;342;6666
291720 ITUACU;162;749;1381;1856;340;-;-;-;1691;6179
291730 ITUBERA;594;1470;3501;3400;803;-;-;-;608;10376
291733 IUIU;367;532;978;1211;228;-;-;-;254;3570
291735 JABORANDI;64;355;973;1048;486;-;-;-;77;3003
291740 JACARACI;69;424;899;1685;183;-;-;-;93;3353
291750 JACOBINA;667;2753;9413;12673;3201;-;1;-;1847;30555
291760 JAGUAQUARA;731;2364;6620;6552;2375;-;-;-;1239;19881
291770 JAGUARARI;309;1284;3229;4389;1152;-;-;-;234;10597
291780 JAGUARIPE;198;675;1577;1757;291;-;-;1;101;4600
291790 JANDAIRA;186;532;1184;1204;155;-;-;-;58;3319
291800 JEQUIE;1124;4581;16227;25691;9067;-;1;-;1239;57930
291810 JEREMOABO;854;2830;3929;4018;648;-;-;-;595;12874
291820 JIQUIRICA;130;737;1359;1313;308;-;-;-;237;4084
291830 JITAUNA;188;578;1668;1681;381;-;-;-;303;4799
291835 JOAO DOURADO;297;1302;3462;4231;619;-;-;-;238;10149
291840 JUAZEIRO;1671;7928;26484;46213;13237;-;2;-;444;95979
291845 JUCURUCU;144;362;672;793;125;-;-;-;166;2262
291850 JUSSARA;189;791;2551;2374;232;-;-;-;99;6236
291855 JUSSARI;71;338;903;710;161;-;-;-;50;2233
291860 JUSSIAPE;36;189;447;658;105;-;-;-;196;1631
291870 LAFAIETE COUTINHO;13;113;298;405;126;-;-;-;22;977
291875 LAGOA REAL;132;517;916;1144;147;-;-;-;123;2979
291880 LAJE;268;1177;2660;2787;599;-;-;-;261;7752
291890 LAJEDAO;11;63;303;414;103;-;-;-;64;958
291900 LAJEDINHO;52;233;440;435;50;-;-;-;62;1272
