 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Estado civil mãe;;;;;;;
Período:2000-2022;;;;;;;
Município;Solteira;Casada;Viúva;Separada judicialmente;União consensual;Ignorado;Total
251398 SAO FRANCISCO;311;638;4;7;122;34;1116
251400 SAO JOAO DO CARIRI;723;499;1;11;89;18;1341
251410 SAO JOAO DO TIGRE;714;366;6;7;212;41;1346
251420 SAO JOSE DA LAGOA TAPADA;714;1438;6;10;219;38;2425
251430 SAO JOSE DE CAIANA;785;1321;9;3;173;53;2344
251440 SAO JOSE DE ESPINHARAS;606;572;5;3;257;13;1456
251445 SAO JOSE DOS RAMOS;919;278;4;5;646;100;1952
251450 SAO JOSE DE PIRANHAS;2545;3327;31;45;440;110;6498
251455 SAO JOSE DE PRINCESA;231;694;5;3;67;18;1018
251460 SAO JOSE DO BONFIM;565;440;3;8;288;19;1323
251465 SAO JOSE DO BREJO DO CRUZ;368;144;-;-;25;11;548
251470 SAO JOSE DO SABUGI;482;399;5;10;199;27;1122
251480 SAO JOSE DOS CORDEIROS;594;456;2;9;94;25;1180
251490 SAO MAMEDE;1114;1042;2;13;393;23;2587
251500 SAO MIGUEL DE TAIPU;1347;400;7;11;654;26;2445
251510 SAO SEBASTIAO DE LAGOA DE ROCA;1844;1426;11;23;102;36;3442
251520 SAO SEBASTIAO DO UMBUZEIRO;508;368;4;4;167;32;1083
251530 SAPE;8008;3811;41;49;4914;315;17138
251540 SAO VICENTE DO SERIDO;2316;1372;9;11;205;56;3969
251550 SERRA BRANCA;2286;945;8;33;329;71;3672
251560 SERRA DA RAIZ;362;236;3;2;198;130;931
251570 SERRA GRANDE;387;565;5;6;94;21;1078
251580 SERRA REDONDA;1355;740;12;14;94;16;2231
251590 SERRARIA;957;541;4;3;395;227;2127
251593 SERTAOZINHO;579;455;-;6;337;203;1580
251597 SOBRADO;1292;560;6;8;595;42;2503
251600 SOLANEA;4772;3176;22;57;1430;518;9975
251610 SOLEDADE;2894;1741;17;48;261;79;5040
251615 SOSSEGO;767;281;2;3;176;22;1251
251620 SOUSA;7462;12716;54;160;2267;618;23277
251630 SUME;3703;1385;13;32;334;64;5531
251640 TACIMA;1131;601;1;5;539;361;2638
251650 TAPEROA;2822;1704;18;40;413;173;5170
251660 TAVARES;1312;2948;18;27;479;78;4862
251670 TEIXEIRA;2930;1760;22;29;1025;74;5840
251675 TENORIO;554;379;3;3;39;12;990
251680 TRIUNFO;1375;1031;7;5;251;47;2716
251690 UIRAUNA;1666;2167;16;16;341;68;4274
251700 UMBUZEIRO;1625;956;9;12;304;20;2926
251710 VARZEA;302;268;4;6;125;14;719
251720 VIEIROPOLIS;289;822;3;4;102;38;1258
251740 ZABELE;435;241;4;2;126;19;827
 MUNICIPIO IGNORADO - PE;48;58;-;1;28;7;142
260005 ABREU E LIMA;17525;9322;78;254;5241;311;32731
260010 AFOGADOS DA INGAZEIRA;6761;6319;62;148;898;61;14249
260020 AFRANIO;2671;2782;12;17;1772;98;7352
260030 AGRESTINA;4634;2561;40;60;1046;52;8393
260040 AGUA PRETA;8011;2104;16;43;2270;125;12569
260050 AGUAS BELAS;10808;5861;80;77;1895;273;18994
260060 ALAGOINHA;2387;1585;15;29;771;46;4833
260070 ALIANCA;8823;2785;28;46;1956;99;13737
260080 ALTINHO;3915;1750;29;26;963;28;6711
260090 AMARAJI;5250;1294;7;30;1263;90;7934
260100 ANGELIM;1724;1539;19;21;407;17;3727
260105 ARACOIABA;4671;1352;10;18;1306;87;7444
260110 ARARIPINA;23050;13855;178;316;1495;101;38995
260120 ARCOVERDE;14846;8673;92;186;3711;60;27568
260130 BARRA DE GUABIRABA;3043;804;7;13;579;58;4504
260140 BARREIROS;12332;3607;42;54;2140;195;18370
260150 BELEM DE MARIA;2175;969;11;10;575;35;3775
260160 BELEM DE SAO FRANCISCO;4658;3187;44;60;1022;104;9075
260170 BELO JARDIM;12444;10362;106;213;5025;140;28290
260180 BETANIA;2340;2148;32;32;333;71;4956
260190 BEZERROS;11832;4660;60;109;2314;195;19170
260200 BODOCO;6827;6382;82;129;561;213;14194
260210 BOM CONSELHO;6854;6979;81;133;1457;348;15852
260220 BOM JARDIM;6946;3863;32;50;974;96;11961
260230 BONITO;10186;3190;27;62;1972;217;15654
260240 BREJAO;2178;1883;39;42;313;35;4490
260250 BREJINHO;1490;1003;6;23;148;20;2690
260260 BREJO DA MADRE DE DEUS;10112;4393;26;87;2726;143;17487
260270 BUENOS AIRES;2712;1233;11;16;568;50;4590
260280 BUIQUE;11049;10153;138;157;2105;185;23787
260290 CABO DE SANTO AGOSTINHO;39042;20343;123;359;13051;724;73642
260300 CABROBO;6946;4576;62;76;1801;93;13554
260310 CACHOEIRINHA;3909;1905;22;42;962;39;6879
260320 CAETES;3699;5842;67;87;761;82;10538
260330 CALCADO;1549;1753;18;21;230;37;3608
260340 CALUMBI;1069;1185;11;14;114;44;2437
260345 CAMARAGIBE;25822;16289;98;405;9466;369;52449
260350 CAMOCIM DE SAO FELIX;3356;1233;18;27;858;36;5528
260360 CAMUTANGA;1713;662;9;10;487;20;2901
260370 CANHOTINHO;4381;3150;40;33;1265;135;9004
260380 CAPOEIRAS;2577;4147;38;50;399;63;7274
260390 CARNAIBA;2904;3433;26;52;466;34;6915
260392 CARNAUBEIRA DA PENHA;3172;3233;33;31;653;57;7179
260400 CARPINA;13150;7575;47;134;3546;284;24736
260410 CARUARU;44318;41140;197;782;39151;224;125812
260415 CASINHAS;2612;1724;21;25;244;36;4662
260420 CATENDE;8772;2591;21;45;2140;108;13677
260430 CEDRO;1687;2096;24;21;280;48;4156
260440 CHA DE ALEGRIA;3002;941;8;22;745;49;4767
260450 CHA GRANDE;4398;1798;17;31;1082;41;7367
260460 CONDADO;5151;1644;24;24;1484;133;8460
260470 CORRENTES;2894;2372;24;31;428;63;5812
260480 CORTES;3872;882;11;7;591;58;5421
260490 CUMARU;2840;1141;11;14;644;26;4676
260500 CUPIRA;4508;2984;37;38;1044;118;8729
260510 CUSTODIA;7035;5068;47;96;668;117;13031
260515 DORMENTES;2700;2258;19;25;1373;115;6490
260520 ESCADA;17135;5424;54;86;2994;123;25816
260530 EXU;6695;5391;42;93;547;166;12934
260540 FEIRA NOVA;5158;1451;10;24;901;150;7694
260545 FERNANDO DE NORONHA;170;215;1;12;65;4;467
260550 FERREIROS;2209;959;13;6;485;26;3698
260560 FLORES;3772;2910;23;32;373;73;7183
260570 FLORESTA;6276;4648;76;86;769;98;11953
260580 FREI MIGUELINHO;2200;1300;11;30;294;19;3854
260590 GAMELEIRA;6101;1416;11;21;1303;105;8957
260600 GARANHUNS;24300;24773;218;621;3215;329;53456
260610 GLORIA DO GOITA;5791;2116;19;26;1441;43;9436
260620 GOIANA;15341;7869;49;120;4757;559;28695
260630 GRANITO;1425;996;13;16;108;14;2572
260640 GRAVATA;16379;5818;42;129;3767;109;26244
260650 IATI;4243;3245;34;38;782;69;8411
260660 IBIMIRIM;6740;3204;40;47;1505;68;11604
260670 IBIRAJUBA;1184;959;7;9;339;18;2516
260680 IGARASSU;20317;9612;78;227;5240;354;35828
260690 IGUARACY;1909;1496;13;30;292;24;3764
260700 INAJA;4732;1678;38;34;1230;135;7847
260710 INGAZEIRA;559;786;2;13;70;6;1436
260720 IPOJUCA;22064;8357;61;124;5536;588;36730
260730 IPUBI;8023;4479;55;62;564;108;13291
260740 ITACURUBA;1086;654;6;9;152;14;1921
260750 ITAIBA;5034;4500;44;53;997;99;10727
260760 ILHA DE ITAMARACA;4683;1251;21;38;1101;73;7167
260765 ITAMBE;7038;2414;23;28;2303;324;12130
260770 ITAPETIM;2912;1698;14;37;114;27;4802
260775 ITAPISSUMA;5632;1643;25;35;1271;103;8709
260780 ITAQUITINGA;3923;1205;9;12;715;92;5956
260790 JABOATAO DOS GUARARAPES;112336;64202;473;1486;36525;1580;216602
260795 JAQUEIRA;3042;712;2;13;971;54;4794
260800 JATAUBA;3587;1871;15;30;816;93;6412
260805 JATOBA;2897;1742;25;33;730;138;5565
260810 JOAO ALFREDO;5870;2655;26;47;661;163;9422
260820 JOAQUIM NABUCO;4136;1072;13;16;1183;66;6486
260825 JUCATI;1896;2118;25;23;236;48;4346
260830 JUPI;3167;2784;36;28;460;88;6563
260840 JUREMA;2743;1935;29;35;680;119;5541
260845 LAGOA DO CARRO;3207;1413;10;26;727;45;5428
260850 LAGOA DE ITAENGA;5677;2292;19;29;930;94;9041
260860 LAGOA DO OURO;2130;2301;18;34;400;31;4914
260870 LAGOA DOS GATOS;3189;1133;14;24;729;49;5138
260875 LAGOA GRANDE;4453;2810;48;38;2121;142;9612
260880 LAJEDO;7453;6385;64;98;1469;255;15724
260890 LIMOEIRO;11703;5446;50;97;2083;176;19555
260900 MACAPARANA;5647;2992;27;29;768;69;9532
260910 MACHADOS;2753;1287;10;15;578;54;4697
260915 MANARI;4782;2161;17;19;712;66;7757
260920 MARAIAL;3367;840;10;7;1074;56;5354
260930 MIRANDIBA;3087;2926;37;59;464;122;6695
260940 MORENO;10541;4971;38;84;2773;76;18483
260950 NAZARE DA MATA;5995;3055;18;50;1243;146;10507
260960 OLINDA;74373;34963;300;1098;26035;1741;138510
260970 OROBO;3243;2882;19;37;866;86;7133
260980 OROCO;2925;2529;25;40;658;65;6242
260990 OURICURI;16333;10529;149;226;1057;131;28425
261000 PALMARES;16271;5602;51;100;5045;300;27369
261010 PALMEIRINA;1662;1163;12;13;242;31;3123
261020 PANELAS;5427;2592;41;37;1278;95;9470
261030 PARANATAMA;2215;2645;35;37;237;36;5205
261040 PARNAMIRIM;4676;3204;53;40;466;74;8513
261050 PASSIRA;6210;2670;29;41;1176;74;10200
261060 PAUDALHO;11944;4329;46;78;3807;170;20374
261070 PAULISTA;45814;27570;189;807;14602;910;89892
261080 PEDRA;4560;3155;36;55;987;36;8829
261090 PESQUEIRA;13161;7266;90;137;3864;195;24713
261100 PETROLANDIA;8558;5413;59;95;2167;257;16549
261110 PETROLINA;46742;44791;283;694;39481;1987;133978
261120 POCAO;2495;1319;18;23;602;33;4490
261130 POMBOS;5114;2097;26;37;1727;29;9030
261140 PRIMAVERA;2994;852;10;13;527;34;4430
261150 QUIPAPA;5651;1770;34;22;998;53;8528
261153 QUIXABA;728;1420;8;14;105;16;2291
261160 RECIFE;251385;158965;954;4185;94868;4608;514965
261170 RIACHO DAS ALMAS;3513;2195;15;38;1120;83;6964
261180 RIBEIRAO;10225;3111;38;44;1719;93;15230
261190 RIO FORMOSO;6546;1725;25;23;1103;61;9483
261200 SAIRE;2408;621;3;12;465;22;3531
261210 SALGADINHO;979;584;4;7;120;23;1717
261220 SALGUEIRO;10895;9947;100;185;3164;302;24593
261230 SALOA;2327;2999;35;34;464;23;5882
261240 SANHARO;4552;1702;18;56;853;52;7233
261245 SANTA CRUZ;3794;2196;22;37;321;50;6420
261247 SANTA CRUZ DA BAIXA VERDE;1822;2523;16;30;137;62;4590
261250 SANTA CRUZ DO CAPIBARIBE;15895;9670;75;245;4143;220;30248
261255 SANTA FILOMENA;2951;2075;38;27;202;50;5343
261260 SANTA MARIA DA BOA VISTA;8940;6278;65;91;3109;234;18717
261270 SANTA MARIA DO CAMBUCA;3179;1085;17;16;491;14;4802
261280 SANTA TEREZINHA;2041;1398;24;22;272;35;3792
261290 SAO BENEDITO DO SUL;2585;671;12;5;686;29;3988
261300 SAO BENTO DO UNA;10992;6170;81;95;1718;192;19248
261310 SAO CAITANO;7284;3561;43;63;2405;114;13470
261320 SAO JOAO;3809;3896;30;58;672;52;8517
261330 SAO JOAQUIM DO MONTE;5403;1902;30;42;785;84;8246
261340 SAO JOSE DA COROA GRANDE;5102;1347;12;17;1121;93;7692
261350 SAO JOSE DO BELMONTE;5457;6377;51;95;712;247;12939
261360 SAO JOSE DO EGITO;6208;3616;32;84;487;65;10492
261370 SAO LOURENCO DA MATA;19046;9668;73;250;6959;271;36267
261380 SAO VICENTE FERRER;4158;1604;16;15;746;51;6590
261390 SERRA TALHADA;16378;13585;105;304;1539;420;32331
261400 SERRITA;3085;3533;50;39;643;54;7404
261410 SERTANIA;5415;3985;53;108;1641;55;11257
261420 SIRINHAEM;9974;3950;45;41;2369;158;16537
261430 MOREILANDIA;1852;1349;9;28;325;26;3589
261440 SOLIDAO;659;1453;11;19;77;13;2232
261450 SURUBIM;12439;6196;64;170;918;92;19879
261460 TABIRA;4875;5176;60;97;466;76;10750
261470 TACAIMBO;2004;1282;15;26;767;18;4112
261480 TACARATU;3649;2777;25;39;1129;141;7760
261485 TAMANDARE;6198;1591;20;26;1229;113;9177
261500 TAQUARITINGA DO NORTE;5426;2440;26;60;890;70;8912
261510 TEREZINHA;1095;1129;22;19;264;26;2555
261520 TERRA NOVA;1413;1712;23;12;328;38;3526
261530 TIMBAUBA;12171;4648;42;76;2712;101;19750
261540 TORITAMA;7358;4352;26;69;1949;115;13869
261550 TRACUNHAEM;2823;1137;14;23;704;59;4760
261560 TRINDADE;8357;4705;88;92;500;121;13863
261570 TRIUNFO;2330;2199;31;35;224;63;4882
261580 TUPANATINGA;4337;4270;49;43;825;47;9571
261590 TUPARETAMA;1670;1069;6;12;199;21;2977
261600 VENTUROSA;3057;2579;27;51;759;28;6501
261610 VERDEJANTE;1773;1610;17;23;438;45;3906
261618 VERTENTE DO LERIO;1931;905;11;13;120;12;2992
261620 VERTENTES;4462;1998;29;41;909;28;7467
261630 VICENCIA;6349;2663;22;20;968;129;10151
261640 VITORIA DE SANTO ANTAO;26007;14056;102;243;7665;232;48305
261650 XEXEU;4365;896;11;16;1153;63;6504
 MUNICIPIO IGNORADO - AL;6;6;-;-;1;1;14
270010 AGUA BRANCA;3235;3316;21;21;1539;286;8418
270020 ANADIA;2393;2729;14;16;1165;43;6360
270030 ARAPIRACA;30622;42845;319;601;16459;1183;92029
270040 ATALAIA;10791;3598;30;34;2846;778;18077
270050 BARRA DE SANTO ANTONIO;4236;844;8;16;1287;48;6439
270060 BARRA DE SAO MIGUEL;1773;1074;4;8;472;30;3361
270070 BATALHA;3080;3114;16;5;1044;52;7311
270080 BELEM;584;788;7;14;490;29;1912
270090 BELO MONTE;872;1138;4;2;417;27;2460
270100 BOCA DA MATA;5277;3555;35;40;1382;102;10391
270110 BRANQUINHA;3183;697;10;6;977;21;4894
270120 CACIMBINHAS;1403;1697;11;25;1198;54;4388
270130 CAJUEIRO;5086;1635;14;16;1972;272;8995
270135 CAMPESTRE;1801;529;4;6;331;23;2694
270140 CAMPO ALEGRE;6589;5779;32;38;2212;244;14894
270150 CAMPO GRANDE;1629;1768;6;16;679;96;4194
270160 CANAPI;3603;1888;23;20;1924;95;7553
270170 CAPELA;4141;1544;20;27;1112;92;6936
270180 CARNEIROS;1483;1438;5;10;1037;32;4005
270190 CHA PRETA;1405;904;8;9;543;67;2936
270200 COITE DO NOIA;1204;2184;9;18;681;60;4156
270210 COLONIA LEOPOLDINA;5458;1128;14;20;1343;94;8057
270220 COQUEIRO SECO;1460;322;1;4;343;15;2145
270230 CORURIPE;6491;5329;45;65;7298;2859;22087
270235 CRAIBAS;3137;5008;43;54;1783;270;10295
270240 DELMIRO GOUVEIA;7405;7252;64;98;5793;225;20837
270250 DOIS RIACHOS;1672;1704;12;24;1010;45;4467
270255 ESTRELA DE ALAGOAS;1407;2908;16;29;1249;95;5704
270260 FEIRA GRANDE;2838;3986;31;26;1571;199;8651
270270 FELIZ DESERTO;629;363;5;8;513;202;1720
270280 FLEXEIRAS;3255;678;5;5;1166;116;5225
270290 GIRAU DO PONCIANO;4392;7154;30;52;2288;227;14143
270300 IBATEGUARA;4147;1210;12;10;1041;46;6466
270310 IGACI;2557;4249;33;61;1921;145;8966
270320 IGREJA NOVA;3795;3349;11;28;1924;282;9389
270330 INHAPI;3777;1786;30;18;2338;74;8023
270340 JACARE DOS HOMENS;1224;1003;9;6;475;18;2735
270350 JACUIPE;1377;328;3;6;537;35;2286
270360 JAPARATINGA;1913;828;3;7;751;45;3547
270370 JARAMATAIA;995;1015;5;8;450;25;2498
270375 JEQUIA DA PRAIA;1037;1596;6;8;883;310;3840
270380 JOAQUIM GOMES;6420;1689;10;15;1614;746;10494
270390 JUNDIA;992;216;2;1;279;30;1520
270400 JUNQUEIRO;3073;4270;25;39;1378;477;9262
270410 LAGOA DA CANOA;2901;3570;31;36;1224;110;7872
270420 LIMOEIRO DE ANADIA;2983;3856;26;51;1653;248;8817
270430 MACEIO;179671;109920;587;1899;58707;2060;352844
270440 MAJOR ISIDORO;3010;2849;26;33;1077;120;7115
270450 MARAGOGI;6161;3650;13;35;2701;258;12818
270460 MARAVILHA;1812;924;8;12;1227;40;4023
270470 MARECHAL DEODORO;12501;3588;36;58;3376;168;19727
270480 MARIBONDO;1619;1964;24;23;1213;94;4937
270490 MAR VERMELHO;465;339;1;4;209;20;1038
270500 MATA GRANDE;3621;3250;29;20;2263;74;9257
270510 MATRIZ DE CAMARAGIBE;6243;1818;14;20;2290;193;10578
270520 MESSIAS;4103;1437;16;15;1284;37;6892
270530 MINADOR DO NEGRAO;501;1065;5;9;528;96;2204
270540 MONTEIROPOLIS;1168;1287;3;7;769;20;3254
270550 MURICI;8207;1665;23;28;2493;126;12542
270560 NOVO LINO;3180;613;5;5;561;73;4437
270570 OLHO D'AGUA DAS FLORES;4061;2307;28;29;2456;113;8994
270580 OLHO D'AGUA DO CASADO;1534;979;11;8;947;45;3524
270590 OLHO D'AGUA GRANDE;737;849;9;7;450;46;2098
270600 OLIVENCA;1309;1973;10;6;1143;25;4466
270610 OURO BRANCO;1772;1414;10;16;1365;46;4623
270620 PALESTINA;640;982;3;10;624;16;2275
270630 PALMEIRA DOS INDIOS;8702;14207;76;287;7489;542;31303
270640 PAO DE ACUCAR;3441;3591;19;18;3446;80;10595
270642 PARICONHA;1526;1580;13;13;1033;78;4243
270644 PARIPUEIRA;3243;771;2;9;811;28;4864
270650 PASSO DE CAMARAGIBE;3727;1031;8;13;1102;83;5964
270660 PAULO JACINTO;1013;817;7;10;683;36;2566
270670 PENEDO;11712;7989;41;99;5041;884;25766
270680 PIACABUCU;3817;1840;12;35;1646;283;7633
270690 PILAR;9051;3068;27;35;1684;167;14032
270700 PINDOBA;582;259;4;-;127;30;1002
270710 PIRANHAS;5223;3052;27;26;2854;118;11300
270720 POCO DAS TRINCHEIRAS;1904;2167;12;9;1519;58;5669
270730 PORTO CALVO;7272;2036;17;25;2209;134;11693
270740 PORTO DE PEDRAS;1843;422;7;2;659;39;2972
270750 PORTO REAL DO COLEGIO;3339;2297;8;17;1730;233;7624
270760 QUEBRANGULO;1654;1721;11;25;1036;39;4486
270770 RIO LARGO;14726;7571;52;119;4442;263;27173
270780 ROTEIRO;1228;1942;1;5;479;56;3711
270790 SANTA LUZIA DO NORTE;1835;581;3;3;438;16;2876
270800 SANTANA DO IPANEMA;7421;7988;51;97;5263;177;20997
270810 SANTANA DO MUNDAU;2343;1166;8;11;728;22;4278
270820 SAO BRAS;1109;842;7;10;555;83;2606
270830 SAO JOSE DA LAJE;6471;2047;27;35;1476;60;10116
270840 SAO JOSE DA TAPERA;6162;4591;36;22;3640;163;14614
270850 SAO LUIS DO QUITUNDE;9965;2055;36;26;2657;181;14920
270860 SAO MIGUEL DOS CAMPOS;7221;14231;31;40;2632;224;24379
270870 SAO MIGUEL DOS MILAGRES;1443;460;8;3;591;34;2539
270880 SAO SEBASTIAO;5759;5224;62;46;2953;453;14497
270890 SATUBA;2599;1463;11;20;813;32;4938
270895 SENADOR RUI PALMEIRA;2124;2021;14;10;1341;55;5565
270900 TANQUE D'ARCA;718;731;5;10;479;40;1983
270910 TAQUARANA;2885;3181;23;37;1332;93;7551
270915 TEOTONIO VILELA;9348;5621;38;38;2842;301;18188
270920 TRAIPU;4598;3152;26;18;1482;144;9420
270930 UNIAO DOS PALMARES;17569;5998;72;79;4755;128;28601
270940 VICOSA;6023;2658;31;23;1978;235;10948
 MUNICIPIO IGNORADO - SE;8;7;-;-;4;2;21
280010 AMPARO DE SAO FRANCISCO;428;223;1;3;177;10;842
280020 AQUIDABA;3757;1527;8;32;1387;106;6817
280030 ARACAJU;105469;66292;364;1849;37039;1584;212597
280040 ARAUA;2171;729;8;5;1160;128;4201
280050 AREIA BRANCA;2996;919;16;17;2685;96;6729
280060 BARRA DOS COQUEIROS;6352;1966;17;74;2214;77;10700
280067 BOQUIM;4589;2323;17;40;2108;146;9223
280070 BREJO GRANDE;1875;638;3;11;631;40;3198
280100 CAMPO DO BRITO;2414;1388;10;20;2313;57;6202
280110 CANHOBA;910;398;1;8;378;80;1775
280120 CANINDE DE SAO FRANCISCO;6843;2354;30;48;3097;761;13133
280130 CAPELA;8864;1877;18;51;1648;376;12834
280140 CARIRA;3498;1240;15;19;2871;85;7728
280150 CARMOPOLIS;3615;1211;7;33;1030;107;6003
280160 CEDRO DE SAO JOAO;917;524;7;4;377;26;1855
280170 CRISTINAPOLIS;3856;1125;14;11;2243;248;7497
280190 CUMBE;646;257;2;1;318;19;1243
280200 DIVINA PASTORA;1117;256;3;5;316;32;1729
280210 ESTANCIA;11578;5072;51;97;8527;603;25928
280220 FEIRA NOVA;905;309;6;9;786;233;2248
280230 FREI PAULO;2000;1221;7;18;2112;59;5417
280240 GARARU;1301;1057;5;9;971;343;3686
280250 GENERAL MAYNARD;547;185;7;2;148;12;901
280260 GRACHO CARDOSO;706;430;4;6;602;180;1928
280270 ILHA DAS FLORES;2093;750;7;9;580;56;3495
280280 INDIAROBA;3554;1164;11;25;2220;173;7147
280290 ITABAIANA;12623;7307;95;125;13759;272;34181
280300 ITABAIANINHA;8128;3264;19;33;3846;326;15616
280310 ITABI;549;403;2;5;363;126;1448
280320 ITAPORANGA D'AJUDA;8508;2004;21;50;2149;233;12965
280330 JAPARATUBA;3764;1173;11;24;1018;137;6127
280340 JAPOATA;2834;1144;12;17;1175;92;5274
280350 LAGARTO;16161;11633;53;140;7644;298;35929
280360 LARANJEIRAS;6447;1877;23;32;2493;159;11031
280370 MACAMBIRA;929;442;3;4;986;17;2381
280380 MALHADA DOS BOIS;883;345;-;-;326;15;1569
280390 MALHADOR;1810;707;7;9;1693;74;4300
280400 MARUIM;4070;1269;7;29;1474;53;6902
280410 MOITA BONITA;1188;864;12;17;1277;43;3401
280420 MONTE ALEGRE DE SERGIPE;1953;1099;16;18;2101;649;5836
280430 MURIBECA;1505;530;1;8;585;90;2719
280440 NEOPOLIS;3121;1906;7;27;1319;188;6568
280445 NOSSA SENHORA APARECIDA;816;818;4;6;1024;80;2748
280450 NOSSA SENHORA DA GLORIA;4150;2814;28;35;4943;1503;13473
280460 NOSSA SENHORA DAS DORES;5627;1904;20;39;1424;238;9252
280470 NOSSA SENHORA DE LOURDES;920;563;2;9;512;92;2098
280480 NOSSA SENHORA DO SOCORRO;36896;14663;132;440;14742;1223;68096
280490 PACATUBA;2797;1357;11;14;1086;121;5386
280500 PEDRA MOLE;359;165;1;2;400;21;948
280510 PEDRINHAS;1665;723;6;7;718;71;3190
280520 PINHAO;1060;398;3;4;776;19;2260
280530 PIRAMBU;2237;545;5;21;672;78;3558
280540 POCO REDONDO;4740;2550;33;45;3888;1136;12392
280550 POCO VERDE;3990;1930;19;38;1327;106;7410
280560 PORTO DA FOLHA;3303;3918;35;32;2317;715;10320
280570 PROPRIA;5438;3028;26;53;2119;297;10961
280580 RIACHAO DO DANTAS;3130;2449;12;21;1574;290;7476
280590 RIACHUELO;2617;657;9;9;647;109;4048
280600 RIBEIROPOLIS;1803;1303;11;19;1871;53;5060
280610 ROSARIO DO CATETE;2408;765;9;20;608;56;3866
280620 SALGADO;3134;1928;14;31;1451;130;6688
280630 SANTA LUZIA DO ITANHY;2853;754;8;15;2074;144;5848
280640 SANTANA DO SAO FRANCISCO;1389;588;1;7;545;34;2564
280650 SANTA ROSA DE LIMA;934;237;3;7;404;22;1607
280660 SANTO AMARO DAS BROTAS;2445;907;6;17;897;42;4314
280670 SAO CRISTOVAO;17799;6845;54;207;5907;318;31130
280680 SAO DOMINGOS;1375;612;2;10;1438;63;3500
280690 SAO FRANCISCO;578;229;-;1;288;16;1112
280700 SAO MIGUEL DO ALEIXO;499;196;-;-;571;31;1297
280710 SIMAO DIAS;6902;3667;28;60;4070;136;14863
280720 SIRIRI;1936;572;5;17;396;44;2970
280730 TELHA;579;291;2;5;211;19;1107
280740 TOBIAS BARRETO;9273;4018;33;96;3995;389;17804
280750 TOMAR DO GERU;2627;838;10;12;1373;121;4981
280760 UMBAUBA;4809;1815;26;28;2904;210;9792
 MUNICIPIO IGNORADO - BA;311;169;1;3;79;604;1167
290010 ABAIRA;392;788;6;4;157;42;1389
290020 ABARE;3097;2602;55;37;1032;134;6957
290030 ACAJUTIBA;3654;955;12;15;483;243;5362
290035 ADUSTINA;3175;790;4;6;365;186;4526
290040 AGUA FRIA;2722;909;3;13;220;305;4172
290050 ERICO CARDOSO;813;1475;7;6;273;214;2788
290060 AIQUARA;880;237;1;1;295;40;1454
290070 ALAGOINHAS;26675;14671;83;238;6956;1813;50436
290080 ALCOBACA;4434;1333;14;16;1584;279;7660
290090 ALMADINA;1303;237;2;3;219;91;1855
290100 AMARGOSA;7400;2708;14;33;1249;306;11710
290110 AMELIA RODRIGUES;4590;1321;13;20;315;695;6954
290115 AMERICA DOURADA;2924;1563;11;17;1044;159;5718
290120 ANAGE;3027;3022;12;29;401;237;6728
290130 ANDARAI;3552;673;7;12;295;293;4832
290135 ANDORINHA;1880;900;8;12;1410;244;4454
290140 ANGICAL;1467;1913;10;19;1032;67;4508
290150 ANGUERA;1363;520;4;2;136;248;2273
290160 ANTAS;2928;618;2;5;112;163;3828
290170 ANTONIO CARDOSO;2379;764;7;8;101;434;3693
290180 ANTONIO GONCALVES;1228;726;4;7;968;75;3008
290190 APORA;3254;1115;11;16;523;227;5146
290195 APUAREMA;1342;383;1;3;560;58;2347
290200 ARACATU;1372;2524;11;3;294;135;4339
290205 ARACAS;2825;740;11;10;507;207;4300
290210 ARACI;11498;3064;34;31;2862;1284;18773
290220 ARAMARI;1829;636;5;8;403;120;3001
290225 ARATACA;2481;241;9;6;500;109;3346
290230 ARATUIPE;1850;431;-;5;329;107;2722
290240 AURELINO LEAL;3684;597;2;10;618;191;5102
290250 BAIANOPOLIS;1058;2642;11;18;813;66;4608
290260 BAIXA GRANDE;3697;1353;15;21;872;420;6378
290265 BANZAE;2692;417;3;8;617;467;4204
290270 BARRA;7904;4988;27;40;6444;541;19944
290280 BARRA DA ESTIVA;4246;3677;31;44;1025;92;9115
290290 BARRA DO CHOCA;6221;4767;33;57;1960;479;13517
290300 BARRA DO MENDES;2479;1052;10;21;1142;180;4884
290310 BARRA DO ROCHA;1276;338;1;2;306;65;1988
290320 BARREIRAS;19780;24184;103;270;15172;916;60425
290323 BARRO ALTO;2226;1172;7;5;822;148;4380
290327 BARROCAS;2112;1714;12;16;237;267;4358
290330 BARRO PRETO;1457;212;3;3;249;82;2006
290340 BELMONTE;4336;1504;14;5;1781;356;7996
290350 BELO CAMPO;2176;2750;15;32;507;357;5837
290360 BIRITINGA;3686;850;9;14;264;388;5211
290370 BOA NOVA;2318;1221;6;17;919;182;4663
290380 BOA VISTA DO TUPIM;4902;979;6;14;401;307;6609
290390 BOM JESUS DA LAPA;9901;7826;33;55;5501;1969;25285
290395 BOM JESUS DA SERRA;1593;1328;4;12;301;113;3351
290400 BONINAL;1470;1955;7;13;822;136;4403
290405 BONITO;4284;820;11;11;696;172;5994
290410 BOQUIRA;2600;3320;17;16;714;132;6799
290420 BOTUPORA;1449;1621;8;5;366;153;3602
290430 BREJOES;3313;705;6;13;802;144;4983
290440 BREJOLANDIA;658;1125;7;5;360;75;2230
