 Nascidos vivos - Brasil;;;;;;;;;
Nascim p/resid.mãe por Município e Duração gestação;;;;;;;;;
Período:2000-2022;;;;;;;;;
Município;Menos de 22 semanas;De 22 a 27 semanas;De 28 a 31 semanas;De 32 a 36 semanas;De 28 a 36 semanas, não especificado;De 37 a 41 semanas;42 semanas ou mais;Ignorado;Total
280660 SANTO AMARO DAS BROTAS;4;20;29;276;-;3927;36;22;4314
280670 SAO CRISTOVAO;37;163;222;2177;-;28160;297;74;31130
280680 SAO DOMINGOS;-;16;22;201;-;3154;35;72;3500
280690 SAO FRANCISCO;1;3;11;64;-;970;54;9;1112
280700 SAO MIGUEL DO ALEIXO;3;8;4;83;-;1115;26;58;1297
280710 SIMAO DIAS;5;54;109;822;-;13250;421;202;14863
280720 SIRIRI;3;17;24;200;1;2656;31;38;2970
280730 TELHA;2;5;12;64;-;981;30;13;1107
280740 TOBIAS BARRETO;11;55;93;1123;-;15615;609;298;17804
280750 TOMAR DO GERU;4;12;25;315;-;4440;141;44;4981
280760 UMBAUBA;3;30;54;568;-;8676;284;177;9792
 MUNICIPIO IGNORADO - BA;2;7;20;99;-;584;15;440;1167
290010 ABAIRA;-;8;7;121;-;1203;19;31;1389
290020 ABARE;1;32;50;397;-;6181;221;75;6957
290030 ACAJUTIBA;2;29;29;213;-;4687;198;204;5362
290035 ADUSTINA;2;19;27;251;-;3958;134;135;4526
290040 AGUA FRIA;2;13;28;492;-;3083;127;427;4172
290050 ERICO CARDOSO;9;7;19;142;-;2497;60;54;2788
290060 AIQUARA;1;3;14;110;-;1220;44;62;1454
290070 ALAGOINHAS;62;289;478;3729;-;42417;1579;1882;50436
290080 ALCOBACA;5;48;65;641;-;6046;283;572;7660
290090 ALMADINA;-;7;13;135;-;1631;35;34;1855
290100 AMARGOSA;4;60;93;759;-;10018;501;275;11710
290110 AMELIA RODRIGUES;3;44;56;410;-;5496;152;793;6954
290115 AMERICA DOURADA;5;21;47;328;-;4926;273;118;5718
290120 ANAGE;7;21;54;449;-;5809;148;240;6728
290130 ANDARAI;2;13;31;340;-;4154;135;157;4832
290135 ANDORINHA;2;24;50;441;-;3676;142;119;4454
290140 ANGICAL;6;24;51;309;-;3868;174;76;4508
290150 ANGUERA;-;6;17;115;-;1777;54;304;2273
290160 ANTAS;2;8;27;224;-;3240;76;251;3828
290170 ANTONIO CARDOSO;-;7;22;171;-;2734;77;682;3693
290180 ANTONIO GONCALVES;2;11;29;186;-;2520;86;174;3008
290190 APORA;3;15;38;274;-;4393;182;241;5146
290195 APUAREMA;-;5;23;156;-;2001;79;83;2347
290200 ARACATU;3;22;19;338;-;3678;162;117;4339
290205 ARACAS;4;14;40;267;-;3677;133;165;4300
290210 ARACI;8;57;118;1129;-;16036;563;862;18773
290220 ARAMARI;3;13;23;195;-;2601;93;73;3001
290225 ARATACA;3;11;35;206;-;2961;82;48;3346
290230 ARATUIPE;2;11;29;146;-;2348;83;103;2722
290240 AURELINO LEAL;2;26;55;363;-;4324;160;172;5102
290250 BAIANOPOLIS;1;21;29;309;-;4013;161;74;4608
290260 BAIXA GRANDE;6;28;48;499;-;5197;319;281;6378
290265 BANZAE;5;13;35;298;-;3477;175;201;4204
290270 BARRA;9;64;145;1539;-;17331;650;206;19944
290280 BARRA DA ESTIVA;11;26;80;509;-;8226;157;106;9115
290290 BARRA DO CHOCA;6;65;122;935;-;11704;395;290;13517
290300 BARRA DO MENDES;1;12;43;270;-;4405;140;13;4884
290310 BARRA DO ROCHA;2;4;12;102;-;1688;105;75;1988
290320 BARREIRAS;53;376;712;4656;-;51852;2056;720;60425
290323 BARRO ALTO;1;14;26;289;-;3827;185;38;4380
290327 BARROCAS;4;18;33;269;-;3548;296;190;4358
290330 BARRO PRETO;2;9;18;163;-;1728;74;12;2006
290340 BELMONTE;3;24;69;982;-;6323;357;238;7996
290350 BELO CAMPO;-;23;49;511;-;4739;188;327;5837
290360 BIRITINGA;3;18;53;445;-;4094;304;294;5211
290370 BOA NOVA;2;16;50;265;-;3938;155;237;4663
290380 BOA VISTA DO TUPIM;4;28;66;393;-;5510;318;290;6609
290390 BOM JESUS DA LAPA;24;101;210;1563;-;20569;1060;1758;25285
290395 BOM JESUS DA SERRA;5;11;26;192;-;2685;121;311;3351
290400 BONINAL;-;15;25;278;-;3891;102;92;4403
290405 BONITO;2;21;43;348;-;5229;237;114;5994
290410 BOQUIRA;5;30;56;315;-;6109;239;45;6799
290420 BOTUPORA;2;10;39;147;-;3276;79;49;3602
290430 BREJOES;3;24;50;279;-;4323;195;109;4983
290440 BREJOLANDIA;-;13;19;164;-;1837;103;94;2230
290450 BROTAS DE MACAUBAS;-;14;22;197;-;2771;121;105;3230
290460 BRUMADO;11;100;180;1507;-;18655;526;630;21609
290470 BUERAREMA;10;36;68;446;-;6126;175;67;6928
290475 BURITIRAMA;3;36;54;479;-;6282;236;134;7224
290480 CAATIBA;5;11;29;357;-;1737;88;71;2298
290485 CABACEIRAS DO PARAGUACU;3;22;52;310;-;5104;181;143;5815
290490 CACHOEIRA;10;36;69;556;1;7914;340;884;9810
290500 CACULE;2;32;60;353;-;6022;139;117;6725
290510 CAEM;2;14;21;231;-;3754;112;182;4316
290515 CAETANOS;1;7;21;221;-;2514;88;346;3198
290520 CAETITE;8;62;125;954;-;13398;446;1394;16387
290530 CAFARNAUM;4;30;76;462;-;6214;208;282;7276
290540 CAIRU;6;23;36;325;-;4629;301;322;5642
290550 CALDEIRAO GRANDE;3;19;41;512;-;3403;236;230;4444
290560 CAMACAN;14;41;83;666;-;10435;312;257;11808
290570 CAMACARI;60;492;820;5152;2;81827;1169;1652;91174
290580 CAMAMU;11;73;147;901;-;10543;558;1231;13464
290590 CAMPO ALEGRE DE LOURDES;5;19;47;636;-;10921;267;138;12033
290600 CAMPO FORMOSO;19;78;184;1418;-;23971;863;1343;27876
290610 CANAPOLIS;1;7;31;254;-;2621;207;65;3186
290620 CANARANA;5;49;102;694;-;8081;322;421;9674
290630 CANAVIEIRAS;6;41;95;676;-;10805;495;216;12334
290640 CANDEAL;-;5;15;153;-;1979;44;277;2473
290650 CANDEIAS;20;151;240;1468;-;19779;319;3837;25814
290660 CANDIBA;3;16;26;195;-;3549;41;31;3861
290670 CANDIDO SALES;7;35;68;760;1;8184;254;167;9476
290680 CANSANCAO;4;37;87;648;-;9742;292;516;11326
290682 CANUDOS;5;19;34;346;-;4572;177;158;5311
290685 CAPELA DO ALTO ALEGRE;3;13;13;139;-;2463;60;185;2876
290687 CAPIM GROSSO;2;45;78;601;-;9875;277;420;11298
290689 CARAIBAS;-;8;21;178;-;2354;89;55;2705
290690 CARAVELAS;1;27;70;447;-;5589;255;210;6599
290700 CARDEAL DA SILVA;2;11;16;155;-;2643;63;262;3152
290710 CARINHANHA;4;43;74;630;-;9199;407;86;10443
290720 CASA NOVA;16;104;226;1460;-;23434;683;359;26282
290730 CASTRO ALVES;2;37;54;495;-;7417;270;230;8505
290740 CATOLANDIA;-;9;10;68;-;943;47;10;1087
290750 CATU;9;73;129;1133;-;13295;472;497;15608
290755 CATURAMA;-;6;17;113;-;2216;40;22;2414
290760 CENTRAL;2;29;58;360;-;5400;261;51;6161
290770 CHORROCHO;1;19;35;198;-;3632;153;103;4141
290780 CICERO DANTAS;4;30;79;511;-;8258;232;415;9529
290790 CIPO;8;24;54;442;-;5455;209;257;6449
290800 COARACI;7;31;71;623;-;6415;253;248;7648
290810 COCOS;2;14;48;331;-;5133;202;308;6038
290820 CONCEICAO DA FEIRA;7;23;54;460;-;4795;168;456;5963
290830 CONCEICAO DO ALMEIDA;4;18;27;255;-;3911;96;145;4456
290840 CONCEICAO DO COITE;3;56;128;1179;-;20266;1330;1396;24358
290850 CONCEICAO DO JACUIPE;3;32;65;526;-;7440;166;1129;9361
290860 CONDE;4;22;72;523;-;7403;245;460;8729
290870 CONDEUBA;4;13;30;328;-;4573;148;156;5252
290880 CONTENDAS DO SINCORA;-;2;11;53;-;876;31;166;1139
290890 CORACAO DE MARIA;3;24;47;455;-;5700;127;814;7170
290900 CORDEIROS;-;5;9;140;-;1831;55;80;2120
290910 CORIBE;2;9;28;225;-;3892;132;85;4373
290920 CORONEL JOAO SA;2;17;25;372;-;4910;79;181;5586
290930 CORRENTINA;9;47;70;571;-;9423;351;505;10976
290940 COTEGIPE;6;17;41;380;-;3474;196;153;4267
290950 CRAVOLANDIA;-;3;19;126;-;1524;90;93;1855
290960 CRISOPOLIS;3;16;58;357;-;5886;260;166;6746
290970 CRISTOPOLIS;4;28;41;273;-;3542;149;53;4090
290980 CRUZ DAS ALMAS;9;102;161;1278;-;16452;449;578;19029
290990 CURACA;3;51;80;801;1;11576;367;189;13068
291000 DARIO MEIRA;4;25;36;266;-;3364;145;339;4179
291005 DIAS D'AVILA;22;129;224;1660;-;21334;676;1218;25263
291010 DOM BASILIO;4;7;14;185;-;2924;96;116;3346
291020 DOM MACEDO COSTA;1;1;5;66;-;1006;38;43;1160
291030 ELISIO MEDRADO;-;4;10;99;-;1835;80;40;2068
291040 ENCRUZILHADA;2;27;73;425;-;6536;258;277;7598
291050 ENTRE RIOS;8;56;109;851;-;12778;363;413;14578
291060 ESPLANADA;4;44;79;564;-;11074;240;535;12540
291070 EUCLIDES DA CUNHA;18;78;137;1095;-;15711;609;641;18289
291072 EUNAPOLIS;34;197;333;3562;-;34783;2757;1394;43060
291075 FATIMA;4;12;31;286;-;4731;190;108;5362
291077 FEIRA DA MATA;-;2;4;75;-;904;25;58;1068
291080 FEIRA DE SANTANA;80;877;1690;13454;-;169248;3486;27153;215988
291085 FILADELFIA;3;23;76;448;-;5527;222;68;6367
291090 FIRMINO ALVES;-;8;10;95;-;1364;35;22;1534
291100 FLORESTA AZUL;1;21;27;263;-;2871;87;67;3337
291110 FORMOSA DO RIO PRETO;8;35;79;684;-;7851;489;80;9226
291120 GANDU;4;39;86;594;-;10571;255;754;12303
291125 GAVIAO;-;4;8;77;-;1017;38;54;1198
291130 GENTIO DO OURO;3;14;28;194;-;2924;137;71;3371
291140 GLORIA;4;26;39;393;-;4788;152;95;5497
291150 GONGOGI;4;10;18;147;-;1912;97;102;2290
291160 GOVERNADOR MANGABEIRA;4;33;57;406;-;5488;203;165;6356
291165 GUAJERU;1;4;10;130;-;1943;49;92;2229
291170 GUANAMBI;9;134;303;2100;-;24837;550;241;28174
291180 GUARATINGA;5;15;36;529;-;5571;436;139;6731
291185 HELIOPOLIS;4;13;19;216;-;3120;161;158;3691
291190 IACU;4;44;93;607;-;9107;286;196;10337
291200 IBIASSUCE;1;7;22;196;-;2524;80;46;2876
291210 IBICARAI;8;29;72;596;-;7349;249;134;8437
291220 IBICOARA;5;35;51;435;-;6365;142;136;7169
291230 IBICUI;-;14;30;281;-;4126;108;47;4606
291240 IBIPEBA;1;17;40;371;-;4908;189;29;5555
291250 IBIPITANGA;1;16;24;251;-;3106;114;196;3708
291260 IBIQUERA;-;10;10;94;-;1184;34;95;1427
291270 IBIRAPITANGA;4;43;74;701;-;8006;474;252;9554
291280 IBIRAPUA;-;9;24;190;-;1844;75;87;2229
291290 IBIRATAIA;5;26;68;472;-;6985;318;290;8164
291300 IBITIARA;3;23;43;299;-;3463;556;134;4521
291310 IBITITA;6;14;48;388;-;5210;270;58;5994
291320 IBOTIRAMA;7;62;108;998;1;8570;371;325;10442
291330 ICHU;2;5;8;89;-;1263;56;165;1588
291340 IGAPORA;1;22;23;259;-;3527;131;57;4020
291345 IGRAPIUNA;3;18;36;264;-;3485;191;482;4479
291350 IGUAI;23;25;55;876;-;6042;279;1820;9120
291360 ILHEUS;64;297;468;3534;-;56105;1640;2702;64810
291370 INHAMBUPE;5;54;128;763;-;10033;412;591;11986
291380 IPECAETA;1;12;26;201;-;3436;80;519;4275
291390 IPIAU;4;69;125;970;-;13867;587;755;16377
291400 IPIRA;16;70;165;967;-;16049;391;1552;19210
291410 IPUPIARA;-;10;14;246;-;2232;77;19;2598
291420 IRAJUBA;-;10;19;135;-;1945;165;65;2339
291430 IRAMAIA;2;14;22;299;-;2444;143;176;3100
291440 IRAQUARA;6;42;73;487;-;8281;223;119;9231
291450 IRARA;6;29;52;411;-;6684;166;1022;8370
291460 IRECE;12;105;244;2051;-;25498;892;80;28882
291465 ITABELA;12;54;97;936;-;10865;678;372;13014
291470 ITABERABA;26;117;182;1798;1;20232;578;1000;23934
291480 ITABUNA;72;431;732;5516;-;65884;1453;359;74447
291490 ITACARE;4;32;60;504;-;6363;313;422;7698
291500 ITAETE;9;21;45;509;-;3922;504;743;5753
291510 ITAGI;2;25;36;294;-;4708;173;135;5373
291520 ITAGIBA;2;23;38;253;-;4491;161;178;5146
291530 ITAGIMIRIM;3;9;22;201;-;1927;165;101;2428
291535 ITAGUACU DA BAHIA;2;21;35;274;-;3808;163;207;4510
291540 ITAJU DO COLONIA;-;6;19;233;-;1935;110;150;2453
291550 ITAJUIPE;4;47;82;689;-;6214;269;85;7390
291560 ITAMARAJU;48;115;197;1626;-;21080;2720;658;26444
291570 ITAMARI;-;13;30;257;-;2591;141;113;3145
291580 ITAMBE;7;50;109;1760;-;5362;286;246;7820
291590 ITANAGRA;-;4;9;170;-;1864;65;117;2229
291600 ITANHEM;1;15;55;271;-;4986;182;87;5597
291610 ITAPARICA;7;40;73;471;-;4881;196;654;6322
291620 ITAPE;4;14;28;207;-;2947;63;38;3301
291630 ITAPEBI;3;6;24;314;-;3185;242;135;3909
291640 ITAPETINGA;22;124;200;1712;-;22113;699;875;25745
291650 ITAPICURU;6;34;68;668;-;7922;335;254;9287
291660 ITAPITANGA;4;14;18;187;-;2114;150;78;2565
291670 ITAQUARA;-;13;40;234;-;2138;103;132;2660
291680 ITARANTIM;2;17;46;427;-;4748;194;150;5584
291685 ITATIM;1;15;24;259;-;4082;147;226;4754
291690 ITIRUCU;3;21;31;300;-;3430;98;83;3966
291700 ITIUBA;5;42;116;784;-;12089;260;838;14134
291710 ITORORO;-;23;49;365;-;5788;212;229;6666
291720 ITUACU;1;14;41;301;-;4196;114;1512;6179
291730 ITUBERA;8;52;90;599;-;8828;481;318;10376
291733 IUIU;4;11;31;331;-;2613;287;293;3570
291735 JABORANDI;-;13;14;231;-;2588;102;55;3003
291740 JACARACI;1;13;19;214;-;3011;71;24;3353
291750 JACOBINA;18;126;285;2014;-;23961;1761;2390;30555
291760 JAGUAQUARA;7;75;138;1006;-;17502;621;532;19881
291770 JAGUARARI;7;54;94;709;-;9190;293;250;10597
291780 JAGUARIPE;2;16;28;238;-;3882;176;258;4600
291790 JANDAIRA;1;11;14;293;-;2829;123;48;3319
291800 JEQUIE;27;193;561;4232;-;48582;1672;2663;57930
291810 JEREMOABO;7;52;96;783;-;10977;376;583;12874
291820 JIQUIRICA;4;11;27;252;-;3524;126;140;4084
291830 JITAUNA;3;24;41;318;-;3897;158;358;4799
291835 JOAO DOURADO;6;30;100;623;-;8857;444;89;10149
291840 JUAZEIRO;39;458;835;6248;-;85911;1971;517;95979
291845 JUCURUCU;-;8;23;295;-;1712;168;56;2262
291850 JUSSARA;4;32;43;330;-;5537;257;33;6236
291855 JUSSARI;3;13;22;160;-;1920;91;24;2233
291860 JUSSIAPE;4;6;12;167;-;1299;80;63;1631
291870 LAFAIETE COUTINHO;-;1;11;88;-;816;27;34;977
291875 LAGOA REAL;1;8;32;180;-;2575;116;67;2979
291880 LAJE;6;34;58;571;-;6619;313;151;7752
291890 LAJEDAO;1;7;6;57;-;823;38;26;958
291900 LAJEDINHO;1;1;7;75;-;1102;40;46;1272
291905 LAJEDO DO TABOCAL;2;6;23;123;-;1956;79;58;2247
291910 LAMARAO;2;5;13;142;-;1611;150;240;2163
291915 LAPAO;5;50;79;712;-;9291;416;44;10597
291920 LAURO DE FREITAS;53;314;594;4391;1;54504;865;5068;65790
291930 LENCOIS;2;12;33;313;-;2810;124;124;3418
291940 LICINIO DE ALMEIDA;2;12;32;264;-;2978;101;48;3437
291950 LIVRAMENTO DE NOSSA SENHORA;16;53;91;630;-;11793;269;638;13490
291955 LUIS EDUARDO MAGALHAES;17;142;250;2508;-;26516;685;404;30522
291960 MACAJUBA;6;11;33;358;-;3440;162;141;4151
291970 MACARANI;11;23;44;486;-;3922;228;806;5520
291980 MACAUBAS;4;54;100;581;-;12139;355;437;13670
291990 MACURURE;1;6;23;125;-;2305;91;60;2611
291992 MADRE DE DEUS;4;50;59;498;-;5167;214;317;6309
291995 MAETINGA;1;12;15;138;-;1771;63;45;2045
292000 MAIQUINIQUE;1;5;17;288;-;2225;137;159;2832
292010 MAIRI;8;22;56;478;-;4716;178;224;5682
292020 MALHADA;11;25;45;461;-;5079;241;133;5995
292030 MALHADA DE PEDRAS;-;11;14;168;-;2326;54;83;2656
292040 MANOEL VITORINO;2;14;44;303;-;3982;146;281;4772
292045 MANSIDAO;-;11;17;195;-;1787;131;72;2213
292050 MARACAS;5;33;103;860;-;7543;290;260;9094
292060 MARAGOGIPE;9;45;95;722;-;9753;470;741;11835
292070 MARAU;5;18;59;427;-;4343;256;208;5316
292080 MARCIONILIO SOUZA;-;15;37;204;-;3251;129;176;3812
292090 MASCOTE;1;22;39;317;-;4166;186;134;4865
292100 MATA DE SAO JOAO;9;78;119;1061;-;13830;461;622;16180
292105 MATINA;3;18;27;243;-;3454;129;77;3951
292110 MEDEIROS NETO;2;23;49;447;-;6651;255;164;7591
292120 MIGUEL CALMON;8;45;90;612;-;8020;530;396;9701
292130 MILAGRES;5;25;41;324;-;3366;189;173;4123
292140 MIRANGABA;4;19;49;290;-;3997;330;331;5020
292145 MIRANTE;2;10;10;210;-;1992;73;232;2529
292150 MONTE SANTO;4;36;117;1671;-;13270;547;1850;17495
292160 MORPARA;3;10;15;255;-;2298;103;67;2751
292170 MORRO DO CHAPEU;12;62;104;900;-;11463;620;244;13405
292180 MORTUGABA;-;14;10;258;-;2575;82;22;2961
292190 MUCUGE;1;13;21;226;-;3791;95;38;4185
292200 MUCURI;8;36;86;1005;-;12972;466;212;14785
292205 MULUNGU DO MORRO;4;20;48;341;-;4788;151;50;5402
292210 MUNDO NOVO;4;19;52;532;-;5817;242;233;6899
292220 MUNIZ FERREIRA;1;7;18;117;-;1652;39;48;1882
292225 MUQUEM DE SAO FRANCISCO;2;15;44;327;-;3389;180;88;4045
292230 MURITIBA;10;40;66;528;-;6637;224;281;7786
292240 MUTUIPE;3;41;49;403;-;6246;333;195;7270
292250 NAZARE;11;23;43;420;-;6960;242;400;8099
292260 NILO PECANHA;2;16;26;243;-;3703;227;189;4406
292265 NORDESTINA;3;22;33;277;-;3471;127;208;4141
292270 NOVA CANAA;8;13;26;274;-;3741;167;330;4559
292273 NOVA FATIMA;-;6;12;117;-;1665;66;132;1998
292275 NOVA IBIA;2;4;9;86;-;1551;52;106;1810
292280 NOVA ITARANA;1;14;27;204;-;2156;140;104;2646
292285 NOVA REDENCAO;4;12;14;284;-;2006;209;257;2786
292290 NOVA SOURE;10;41;72;579;-;7202;281;347;8532
292300 NOVA VICOSA;11;56;113;1013;-;11216;590;393;13392
292303 NOVO HORIZONTE;-;14;17;205;-;2599;316;78;3229
292305 NOVO TRIUNFO;1;6;14;174;-;2480;83;152;2910
292310 OLINDINA;7;22;61;509;-;7442;213;383;8637
292320 OLIVEIRA DOS BREJINHOS;6;26;71;552;-;4722;362;986;6725
292330 OURICANGAS;1;7;25;144;-;1945;81;123;2326
292335 OUROLANDIA;1;28;69;720;-;4848;800;447;6913
292340 PALMAS DE MONTE ALTO;4;25;58;443;-;5774;229;28;6561
292350 PALMEIRAS;-;7;31;460;-;2551;96;153;3298
292360 PARAMIRIM;6;27;42;207;-;5213;105;27;5627
292370 PARATINGA;11;49;96;625;-;10018;442;187;11428
292380 PARIPIRANGA;6;25;52;755;-;6998;202;130;8168
292390 PAU BRASIL;5;16;44;277;-;3927;146;90;4505
292400 PAULO AFONSO;47;223;458;3060;-;37130;1293;849;43060
292405 PE DE SERRA;2;12;31;199;-;3468;101;242;4055
292410 PEDRAO;3;7;9;104;-;1484;61;54;1722
292420 PEDRO ALEXANDRE;-;18;34;280;-;4264;91;133;4820
292430 PIATA;4;19;44;361;-;5882;156;53;6519
292440 PILAO ARCADO;7;32;92;846;-;11096;427;474;12974
292450 PINDAI;6;17;32;372;-;3894;116;67;4504
292460 PINDOBACU;12;24;55;424;-;6114;269;180;7078
292465 PINTADAS;-;7;20;123;-;2251;57;183;2641
292467 PIRAI DO NORTE;2;8;18;139;-;2374;62;148;2751
292470 PIRIPA;1;17;12;166;-;2254;102;93;2645
292480 PIRITIBA;3;30;48;302;-;5589;239;242;6453
292490 PLANALTINO;-;8;20;201;-;1914;77;83;2303
292500 PLANALTO;5;36;77;583;-;7470;385;222;8778
292510 POCOES;11;50;130;1161;-;14641;546;299;16838
292520 POJUCA;4;55;106;861;-;11118;297;138;12579
292525 PONTO NOVO;7;42;79;525;-;5368;176;136;6333
292530 PORTO SEGURO;30;291;613;4846;-;50020;2150;1158;59108
292540 POTIRAGUA;1;16;26;249;-;2719;154;107;3272
292550 PRADO;3;41;96;768;-;8971;484;292;10655
292560 PRESIDENTE DUTRA;6;13;42;314;-;4045;205;49;4674
292570 PRESIDENTE JANIO QUADROS;1;10;26;190;-;3097;79;75;3478
292575 PRESIDENTE TANCREDO NEVES;6;45;74;605;-;8045;568;160;9503
292580 QUEIMADAS;11;21;77;460;-;6891;282;413;8155
292590 QUIJINGUE;3;44;59;465;-;7261;316;342;8490
292593 QUIXABEIRA;1;14;10;128;-;2491;66;81;2791
292595 RAFAEL JAMBEIRO;2;15;55;317;-;6468;173;310;7340
292600 REMANSO;8;54;144;1128;-;14916;403;469;17122
292610 RETIROLANDIA;-;9;39;276;-;3857;148;324;4653
292620 RIACHAO DAS NEVES;10;39;73;537;-;6300;315;252;7526
292630 RIACHAO DO JACUIPE;4;39;84;589;-;8378;335;558;9987
292640 RIACHO DE SANTANA;2;33;68;548;-;8452;291;166;9560
292650 RIBEIRA DO AMPARO;3;23;43;414;-;3905;162;304;4854
292660 RIBEIRA DO POMBAL;12;86;159;1216;-;15424;803;972;18672
292665 RIBEIRAO DO LARGO;1;6;23;288;-;1933;141;103;2495
292670 RIO DE CONTAS;6;19;23;212;-;3058;85;91;3494
292680 RIO DO ANTONIO;-;7;30;263;-;2933;105;137;3475
292690 RIO DO PIRES;-;5;14;118;-;2414;60;16;2627
292700 RIO REAL;8;54;88;757;-;12078;391;279;13655
292710 RODELAS;1;13;36;221;-;2931;173;159;3534
292720 RUY BARBOSA;5;50;131;707;-;10005;452;348;11698
292730 SALINAS DA MARGARIDA;2;16;31;264;-;3385;139;159;3996
292740 SALVADOR;863;5206;9100;61712;10;731572;9394;20049;837906
292750 SANTA BARBARA;4;12;52;303;-;5440;123;742;6676
292760 SANTA BRIGIDA;8;20;50;620;-;4388;350;240;5676
292770 SANTA CRUZ CABRALIA;3;39;90;841;-;8617;396;223;10209
292780 SANTA CRUZ DA VITORIA;-;5;15;111;-;1451;41;38;1661
292790 SANTA INES;2;20;18;286;-;2780;162;89;3357
292800 SANTALUZ;8;47;97;691;-;12307;264;336;13750
292805 SANTA LUZIA;3;13;32;314;-;3599;142;156;4259
292810 SANTA MARIA DA VITORIA;8;46;108;878;-;10763;413;374;12590
292820 SANTANA;9;18;67;478;-;6444;365;149;7530
292830 SANTANOPOLIS;1;8;19;124;-;1954;84;327;2517
292840 SANTA RITA DE CASSIA;3;39;78;966;-;7399;390;329;9204
292850 SANTA TERESINHA;1;8;23;150;-;2911;64;46;3203
292860 SANTO AMARO;13;124;188;1195;-;15338;354;729;17941
292870 SANTO ANTONIO DE JESUS;14;146;228;1989;-;26703;759;1137;30976
292880 SANTO ESTEVAO;8;58;137;902;-;13753;394;1585;16837
292890 SAO DESIDERIO;4;43;88;729;-;9382;489;649;11384
292895 SAO DOMINGOS;2;9;14;129;-;2063;68;104;2389
292900 SAO FELIX;5;18;44;261;-;3354;138;121;3941
292905 SAO FELIX DO CORIBE;8;29;54;352;-;4902;159;114;5618
292910 SAO FELIPE;3;25;42;285;-;4873;112;148;5488
292920 SAO FRANCISCO DO CONDE;8;62;129;957;-;10340;324;785;12605
292925 SAO GABRIEL;6;28;53;415;-;6622;199;153;7476
292930 SAO GONCALO DOS CAMPOS;4;126;72;573;-;7456;407;1222;9860
292935 SAO JOSE DA VITORIA;-;12;13;162;-;2337;45;18;2587
292937 SAO JOSE DO JACUIPE;-;13;24;144;-;3000;78;94;3353
292940 SAO MIGUEL DAS MATAS;1;15;21;142;-;2995;84;51;3309
292950 SAO SEBASTIAO DO PASSE;15;75;126;939;-;10546;272;856;12829
292960 SAPEACU;12;27;43;388;-;5370;130;85;6055
292970 SATIRO DIAS;8;18;38;396;-;4442;242;469;5613
292975 SAUBARA;4;10;20;202;-;2484;75;146;2941
292980 SAUDE;3;15;40;244;-;3205;112;152;3771
292990 SEABRA;3;48;92;3273;-;11934;384;388;16122
293000 SEBASTIAO LARANJEIRAS;-;8;17;153;-;2150;102;91;2521
293010 SENHOR DO BONFIM;16;148;252;1820;-;23277;859;664;27036
293015 SERRA DO RAMALHO;19;61;108;778;-;10111;475;392;11944
293020 SENTO SE;3;54;114;728;-;11470;484;296;13149
293030 SERRA DOURADA;3;40;51;564;-;4185;142;634;5619
293040 SERRA PRETA;4;9;38;360;-;3209;310;515;4445
293050 SERRINHA;15;107;226;2047;-;21942;2762;1498;28597
293060 SERROLANDIA;1;12;46;257;-;3335;190;152;3993
293070 SIMOES FILHO;38;224;420;2850;-;39547;776;1520;45375
293075 SITIO DO MATO;3;12;35;406;-;3343;203;264;4266
293076 SITIO DO QUINTO;3;10;25;205;-;3158;101;230;3732
293077 SOBRADINHO;4;52;86;665;-;8467;311;84;9669
293080 SOUTO SOARES;3;22;54;376;-;5284;194;232;6165
293090 TABOCAS DO BREJO VELHO;1;8;23;232;-;3070;125;80;3539
293100 TANHACU;5;19;49;382;-;4738;176;757;6126
293105 TANQUE NOVO;1;26;48;345;-;4221;282;87;5010
293110 TANQUINHO;-;10;14;118;-;1796;49;267;2254
293120 TAPEROA;-;28;52;387;-;5248;224;552;6491
293130 TAPIRAMUTA;4;35;60;343;-;4998;228;326;5994
293135 TEIXEIRA DE FREITAS;27;222;505;4209;-;44702;2177;4839;56681
293140 TEODORO SAMPAIO;-;6;19;129;-;1552;38;210;1954
293150 TEOFILANDIA;8;32;68;500;-;5366;552;499;7025
293160 TEOLANDIA;3;14;36;242;-;3986;222;262;4765
293170 TERRA NOVA;-;20;30;211;-;2936;61;222;3480
293180 TREMEDAL;4;9;24;353;-;3796;160;207;4553
293190 TUCANO;13;49;108;948;-;12598;521;412;14649
293200 UAUA;14;36;75;430;-;7026;284;233;8098
293210 UBAIRA;7;30;43;425;-;5817;230;129;6681
293220 UBAITABA;17;25;64;542;-;6930;255;179;8012
293230 UBATA;1;29;52;416;-;6385;215;194;7292
293240 UIBAI;3;18;29;274;-;3687;185;27;4223
293245 UMBURANAS;3;15;40;533;-;3227;189;385;4392
293250 UNA;12;30;52;417;-;6664;232;293;7700
293260 URANDI;3;16;46;303;-;4629;75;33;5105
293270 URUCUCA;3;32;84;510;-;6709;257;649;8244
293280 UTINGA;3;18;48;340;-;6431;189;103;7132
293290 VALENCA;18;190;243;2044;-;28339;2081;936;33851
293300 VALENTE;4;29;63;483;-;6252;265;302;7398
293305 VARZEA DA ROCA;4;10;32;340;-;3266;111;165;3928
293310 VARZEA DO POCO;2;10;23;140;-;2181;108;77;2541
293315 VARZEA NOVA;3;16;53;231;1;4034;174;127;4639
293317 VARZEDO;1;7;30;162;-;2400;75;111;2786
293320 VERA CRUZ;12;66;90;826;-;9957;383;1239;12573
293325 VEREDA;-;5;10;155;-;1494;91;55;1810
